Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
DB Cossack Squat,40-59,Weight Maintenance,Activation / Mobility,Lower,Dumbbell,Intermediate,3,8-6,9-7,90-120 sec,Enhances lateral hip mobility and single-leg strength,"1. Stand with feet wide and hold a dumbbell vertically at your chest with both hands.
2. Shift weight to one leg and push hips back while lowering into a deep lateral squat, keeping the opposite leg straight and heel on the floor.
3. Keep chest upright and core braced as you descend, maintaining a neutral spine.
4. Drive through the bent-leg heel to return to center and repeat on the other side.",Keep chest upright and push hips back while driving through the bent heel,4.1,"Osteoarthritis, Obesity",Limited single-leg balance,
DB Windmill,40-59,Weight Loss,Activation / Mobility,Core,Dumbbell,Intermediate,3,8-6,8-6,60-90 sec,Builds core stability and improves shoulder mobility through rotational load,"1. Stand with feet wider than shoulder-width and hold a dumbbell overhead in one hand with the arm locked.
2. Turn the feet slightly away from the weight and hinge at the hips toward the opposite side while keeping the dumbbell overhead.
3. Slide the free hand down the front of the leg and keep your eyes on the dumbbell while maintaining a straight arm.
4. Drive the hips forward to return upright, lower the dumbbell, and repeat on the other side.",Hinge at the hips and keep spine neutral while eyes follow the top hand,4.2,"Osteoporosis, Chronic Low Back Pain",Limited overhead reach,
DB Kang Squat,40-59,Weight Maintenance,Activation / Mobility,Full,Dumbbell,Intermediate,3,12-8,9-7,90-120 sec,Develops posterior chain strength and squat mobility in a compact loaded position,"1. Stand with feet hip- to shoulder-width and hold a dumbbell in the goblet position at your chest.
2. Push hips back and bend knees to descend with a tall chest and knees tracking the toes.
3. Lightly tap a box or bench with your glutes without fully relaxing, keeping tension in the legs.
4. Drive through the heels and hips to stand back up and reset for the next rep.",Keep chest up descend between feet control depth and press through heels,4.3,None,Knee pain (general / chronic),
DB Cuban Press,40-59,Weight Gain,Activation / Mobility,Upper,Dumbbell,Intermediate,3,15-10,8-6,60-90 sec,Enhances rotator cuff activation and overhead pressing coordination,"1. Stand tall with feet hip-width and hold a dumbbell in each hand with palms facing your thighs.
2. Lift the dumbbells toward chest height by leading with your elbows and keeping the weights close to your body.
3. Rotate your upper arms so your forearms point forward and the dumbbells come near ear level.
4. Press the dumbbells overhead until arms are extended, then reverse the motion to return.",Start with elbows high rotate externally then press overhead with control,3.4,None,Rotator cuff weakness / instability,
DB Single-Leg RDL,All Ages,Weight Loss,Activation / Mobility,Lower,Dumbbell,Intermediate,3,8-12,9-7,60-90 sec,Improves hamstring and glute strength while challenging balance,"1. Stand on one leg and hold a dumbbell in the opposite hand with a neutral grip.
2. Hinge at the hips and push your butt back while lowering the dumbbell toward the standing foot and extending the free leg behind you.
3. Keep a slight bend in the standing knee and maintain a straight spine as you lower until you feel hamstring tension.
4. Drive through the standing heel to return upright and lower the free leg back beside the support leg.",Hinge at hips keeping a neutral spine and slow controlled descent,3.4,Sarcopenia,Limited single-leg balance,
DB Half Turkish Get-Up,All Ages,Weight Maintenance,Activation / Mobility,Core,Dumbbell,Intermediate,3,4-6,8-6,90-120 sec,Improves core stability and transitional strength during controlled positional changes,"1. Lie on your back holding a dumbbell in one hand with the arm extended vertically and the same-side knee bent.
2. Press the dumbbell up and roll onto the opposite forearm while keeping your shoulder packed and eyes on the weight.
3. Push up from the forearm to a tall seated position while keeping the dumbbell overhead and the torso braced.
4. Reverse the steps under control to return to the floor and repeat on the other side.",Keep shoulder packed and eyes on dumbbell while controlling each transition,4,"Depression / Anxiety, Cognitive Decline / Dementia",Rotator cuff weakness / instability,
DB Waiter’s Walk,60+,Weight Gain,Activation / Mobility,Full,Dumbbell,Intermediate,3,20-40,9-7,60-90 sec,Builds overhead shoulder stability and improves postural control during loaded carries,"1. Stand tall and hold one dumbbell overhead with a straight arm and neutral grip.
2. Brace your core and pull your shoulder blade down and back.
3. Take slow, controlled steps while keeping the dumbbell steady overhead.
4. Stop, lower the dumbbell to your shoulder, and set it down safely.",Stand tall brace core press dumbbell fully overhead and walk with controlled steps,4.5,Hypertension,Limited overhead reach,
DB Pullover,All Ages,Weight Loss,Activation / Mobility,Upper,Dumbbell,Intermediate,3,8-12,8-6,60-90 sec,Strengthens chest and lat engagement while promoting thoracic extension,"1. Lie flat on a bench with feet planted and hold one dumbbell with both hands above your chest.
2. Keep a slight bend in your elbows and hinge at the shoulders to lower the dumbbell in an arc behind your head.
3. Engage your lats and chest to pull the dumbbell back over your chest using the same arc.
4. Lower the dumbbell to your chest and set it down with control.",Maintain scapular control and slow controlled arc without overarching the lower back,3,None,Limited shoulder range of motion,
DB Clamshell (Weighted),60+,Weight Maintenance,Activation / Mobility,Lower,Dumbbell,Intermediate,3,12-20,8-6,30-60 sec,Activates hip external rotators and improves lateral hip stability,"1. Lie on your side with hips stacked and knees bent about 90 degrees, and rest a dumbbell on your top outer thigh.
2. Keep your feet together and lift your top knee by rotating the top hip while keeping your pelvis steady.
3. Lower your knee with control back to the start and repeat, then switch sides.",Keep hips stacked core braced and move through the hip without rotating torso,2.3,None,Hip stiffness / limited hip mobility,
DB Suitcase Hold,60+,Weight Gain,Activation / Mobility,Core,Dumbbell,Intermediate,3,20-40,8-6,60-90 sec,Improves unilateral grip strength and resists lateral trunk flexion,"1. Stand with feet hip-width apart and hold a dumbbell in one hand at your side.
2. Brace your core and keep a neutral spine.
3. Keep your arm straight and shoulder packed while holding the weight.
4. Hold the position for the desired time, then switch sides.",Stand tall brace core keep shoulders down and spine neutral,2.8,"Hypertension, Coronary Artery Disease",Reduced core stability,
DB Deep Squat Hold (Counterbalance),All Ages,Weight Loss,Activation / Mobility,Full,Dumbbell,Intermediate,3,10-6,7-5,60-90 sec,Enhances lower body mobility and strengthens hip and ankle positioning,"1. Stand with feet slightly wider than hip-width and hold a dumbbell by one end with both hands in front of you.
2. Sit back into a deep squat until your hips drop below your knees and keep your heels on the floor.
3. Press the dumbbell forward as a counterbalance and keep your chest upright.
4. Hold the deep squat with control, then stand up when ready.",Sit back through hips maintain chest up knees tracking toes,3,"Osteoarthritis, Hypertension, Coronary Artery Disease",Hip stiffness / limited hip mobility,
DB External Rotation,60+,Weight Maintenance,Activation / Mobility,Upper,Dumbbell,Intermediate,3,15-12,7-5,30-60 sec,Improves shoulder external rotation control and rotator cuff endurance,"1. Lie on your side with the top elbow bent 90° and hold a light dumbbell in the top hand.
2. Keep the elbow pinned to your side and the wrist neutral.
3. Rotate your forearm upward away from your body until the dumbbell reaches chest level.
4. Lower the dumbbell slowly with control and repeat, then switch sides.",Keep elbow tucked at side rotate forearm away with control,2.6,None,Rotator cuff weakness / instability,
DB Good Morning,40-59,Weight Gain,Activation / Mobility,Lower,Dumbbell,Intermediate,3,12-8,8-7,90-120 sec,Strengthens posterior chain and improves hip hinge mechanics,"1. Stand with feet hip-width apart and hold one dumbbell across your upper back with both hands.
2. Hinge at the hips with a soft bend in the knees and keep your back flat as you lower your torso until it is nearly parallel to the floor.
3. Drive your hips forward and squeeze your glutes to return to standing.
4. Reset your posture and repeat for the desired repetitions.",Hinge at hips push hips back maintain neutral spine and soft knees,3.4,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Overhead Carry,40-59,Weight Gain,Activation / Mobility,Core,Dumbbell,Intermediate,3,20-40,9-7,90-120 sec,Builds shoulder stability and core anti-extension control,"1. Clean and press one dumbbell overhead until your elbow is locked and your shoulder is stable.
2. Brace your core and keep your torso upright with the dumbbell aligned over your hand.
3. Walk forward with small, controlled steps while maintaining the overhead position.
4. Turn around or stop after the set distance or time, then switch sides and repeat.",Brace core keep ribs down and glutes engaged stand tall,3.8,"Hypertension, Coronary Artery Disease",Limited overhead reach,
DB Cross-Body Reach,60+,Weight Maintenance,Activation / Mobility,Full,Dumbbell,Intermediate,3,12-8,7-6,30-60 sec,Enhances anti-rotation core strength and cross-body coordination,"1. Stand with feet hip-width apart and hold one dumbbell in your right hand at thigh level.
2. Hinge at the hips and reach the dumbbell diagonally across your body toward your left foot while keeping your back flat.
3. Drive your hips forward to return to standing and bring the dumbbell back to the starting position.
4. Switch the dumbbell to the left hand and repeat the movement on the other side.",Brace your core and rotate from your upper back not your lower back,3,None,Limited shoulder range of motion,
DB Zottman Curl,40-59,Weight Gain,Activation / Mobility,Upper,Dumbbell,Intermediate,3,12-8,8-7,60-90 sec,Develops biceps strength and forearm pronation-supination control,"1. Stand tall with feet hip-width and hold a dumbbell in each hand at your sides with palms facing forward.
2. Curl the dumbbells toward your shoulders while keeping elbows close to your body.
3. Rotate both wrists at the top so palms face down and lower the dumbbells slowly.
4. Rotate wrists back to palms-up at the bottom and repeat.",Lift with controlled supination and lower with slow pronation maintaining elbow stability,3,None,Elbow pain,
DB Jefferson Curl,All Ages,Weight Maintenance,Activation / Mobility,Lower,Dumbbell,Intermediate,2,8-6,7-5,60-90 sec,Improves spinal flexion mobility and hamstring passive length,"1. Stand on a low elevated surface with feet hip-width and hold one dumbbell with both hands in front of your hips.
2. Tuck your chin slightly and hinge at the hips, then slowly roll down one vertebra at a time as the dumbbell descends toward your feet.
3. Pause at the bottom with control and a deep stretch through the back and hamstrings.
4. Reverse the motion by sequentially extending the spine and return to standing while keeping the dumbbell close.",Use light load and hinge gradually articulating each vertebra with control,2.6,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Bird Dog Row,All Ages,Weight Loss,Activation / Mobility,Core,Dumbbell,Intermediate,3,12-8,8-6,60-90 sec,Enhances core anti-rotation control and scapular retraction strength,"1. Kneel on hands and knees with a dumbbell beside one hand and brace your core.
2. Reach the free hand forward and extend the opposite leg back until your body forms a straight line.
3. Grip the dumbbell and row it toward your ribcage while keeping hips square and torso stable.
4. Lower the dumbbell with control, return the arm and leg, and repeat on the other side.",Keep a neutral spine and exhale as you row avoiding torso rotation,3,None,Reduced core stability,
DB Single-Leg Balance Pass,All Ages,Weight Maintenance,Activation / Mobility,Full,Dumbbell,Intermediate,2,15-10,7-5,30-60 sec,Improves single-leg balance and coordination during loaded movements,"1. Stand on one leg with a slight knee bend and hold a dumbbell in one hand.
2. Hinge slightly at the hips and lift the free foot off the ground for balance.
3. Pass the dumbbell under the lifted thigh to the other hand while staying upright.
4. Secure the dumbbell, re-establish balance, and repeat for reps then switch legs.",Anchor standing hip and soft knee while breathing evenly during the pass,2.7,Sarcopenia,Limited single-leg balance,
DB Wrist Curl,All Ages,Weight Gain,Activation / Mobility,Upper,Dumbbell,Intermediate,3,20-12,8-6,45-60 sec,Improves forearm strength and grip endurance,"1. Sit and rest your forearm on your thigh or a bench with the wrist hanging over the edge and hold a dumbbell in your hand, palm up.
2. Curl the dumbbell by flexing your wrist to lift the weight toward your forearm.
3. Lower the dumbbell slowly to a full wrist extension and repeat.",Keep forearm supported and curl with slow controlled wrist motion,2.1,None,Wrist pain / limited wrist mobility,
DB Glute Bridge March,60+,Weight Loss,Activation / Mobility,Lower,Dumbbell,Intermediate,3,12-8,8-6,60-90 sec,Enhances glute strength and hip stability during single leg control,"1. Lie on your back with knees bent, feet flat, and place a dumbbell on your hips, holding it in place.
2. Drive through your heels and lift your hips into a full bridge, squeezing your glutes.
3. Lift one knee toward your chest while keeping hips elevated and stable.
4. Lower that foot back to the ground, repeat on the other side, and continue marching.",Keep hips level and core braced as you alternate knee lifts,2.5,None,Reduced core stability,
DB Dead Bug Pullover,60+,Weight Maintenance,Activation / Mobility,Core,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Strengthens deep core coordination and shoulder stability,"1. Lie on your back with knees bent and hold one dumbbell with both hands over your chest.
2. Extend one leg toward the floor while lowering the dumbbell slowly overhead until your arms are near the floor.
3. Pull the dumbbell back over your chest and bring the extended leg back to the start.",Press lower back into the floor and move limbs with slow controlled tempo,2.6,None,Reduced core stability,
DB Bear Crawl (Weighted),40-59,Weight Loss,Activation / Mobility,Full,Dumbbell,Intermediate,3,20-30,9-7,90-120 sec,Builds core stability and total body coordination under load,"1. Start in a tabletop position with hands gripping dumbbells under your shoulders and knees lifted a few inches off the floor.
2. Brace your core and keep hips low as you reach forward with one hand while stepping the opposite foot forward.
3. Continue crawling by alternating the opposite hand and foot in controlled steps.
4. Keep the dumbbells stable and avoid shrugging your shoulders as you move.","Keep hips low and spine neutral, take controlled steps without collapsing shoulders",6.5,None,Wrist pain / limited wrist mobility,
DB Prone Y-Raise,40-59,Weight Maintenance,Activation / Mobility,Upper,Dumbbell,Intermediate,3,15-12,8-6,45-60 sec,Improves scapular stability and posterior shoulder endurance,"1. Lie face down on an incline bench or the floor with a light dumbbell in each hand and arms extended overhead in a Y.
2. Rotate your thumbs up and lift the dumbbells by squeezing your upper back until your arms clear the surface.
3. Pause briefly at the top while keeping your neck neutral.
4. Lower the dumbbells slowly back to the start under control.",Keep neck neutral and lift through scapula with straight arms avoid shrugging,2.7,None,Thoracic stiffness (upper-back rigidity),
DB Fire Hydrant (Weighted),All Ages,Weight Gain,Activation / Mobility,Lower,Dumbbell,Intermediate,3,15-12,8-6,60-90 sec,Strengthens hip abductors and enhances lateral hip stability,"1. Cradle a light dumbbell behind your working knee with the same-side hand.
2. Keep hips square and core braced and lift the bent knee out to the side to hip height.
3. Pause and squeeze the glute at the top.
4. Lower the knee with control and repeat, then switch sides.",Keep hips square and core braced as you lift the weighted knee,2.3,None,Hip stiffness / limited hip mobility,
DB Boat Pose Hold,40-59,Weight Loss,Activation / Mobility,Core,Dumbbell,Intermediate,3,20-30,8-6,60-90 sec,Develops isometric core strength and balance capacity,"1. Sit on the mat and hold one dumbbell with both hands at chest level.
2. Lean back slightly, lift your feet, and extend your legs into a V if possible.
3. Hold the dumbbell steady with a straight spine and steady breath.
4. Lower your legs and place the dumbbell down with control.",Maintain a long spine pull shoulders back and breathe steadily,2.6,"Hypertension, Coronary Artery Disease, Osteoporosis",Reduced core stability,
DB Lunge with Twist,All Ages,Weight Loss,Activation / Mobility,Full,Dumbbell,Intermediate,3,12-8,8-7,90-120 sec,Improves unilateral leg strength and rotational core mobility,"1. Stand feet hip-width and hold a dumbbell at chest with both hands (goblet grip).
2. Step forward with one foot and lower into a lunge until the front thigh is near parallel.
3. Rotate your torso and the dumbbell toward the front leg, then return to facing forward.
4. Push through the front heel to return to standing and repeat on the other side.",Keep front knee stacked over ankle and rotate torso with control,4.5,"Osteoarthritis, Osteoporosis, Chronic Low Back Pain, Obesity / Overweight",Knee pain (general / chronic),
DB Around the World,All Ages,Weight Loss,Activation / Mobility,Upper,Dumbbell,Intermediate,2,12-10,8-6,60-90 sec,Enhances shoulder mobility and motor control through coordinated circular movement,"1. Stand with feet hip-width and grip one dumbbell vertically with both hands at chest.
2. Press the dumbbell overhead and begin moving it in a slow, controlled circle around your head and shoulders.
3. Keep your core braced and knees slightly bent throughout the movement.
4. Complete the circle back to chest and repeat, then reverse the direction.",Control the path keep shoulders down and brace your core,3.5,None,Limited shoulder range of motion,
DB Static Lunge Hold,40-59,Weight Loss,Activation / Mobility,Lower,Dumbbell,Intermediate,3,8-6,9-7,90-120 sec,Builds single leg endurance and lower body stability,"1. Stand tall and hold a dumbbell in each hand at your sides, feet hip-width.
2. Step one foot back and lower into a lunge until the front thigh is parallel to the floor.
3. Hold the lunge with torso upright and weight through the front heel for the set time, then switch legs.",Stand tall tuck hips slightly and breathe evenly while holding,3.4,"Hypertension, Coronary Artery Disease, Osteoarthritis, Obesity / Overweight",Limited single-leg balance,
DB Side Bend Hold (Isometric),All Ages,Weight Gain,Activation / Mobility,Core,Dumbbell,Intermediate,3,12-8,8-6,45-75 sec,Enhances lateral core strength and trunk endurance,"1. Stand with feet shoulder-width and hold one dumbbell in your right hand at your side.
2. Slide the dumbbell slowly down your right thigh by bending at the waist until the oblique engages, keeping hips square.
3. Hold the bent position for the set time, then return upright and switch sides.",Brace your core to keep hips and shoulders stacked,2.1,"Hypertension, Coronary Artery Disease",Lower back pain (non-specific),
DB Duck Walk,40-59,Weight Gain,Activation / Mobility,Full,Dumbbell,Intermediate,3,20-30,9-7,60-90 sec,Builds lower body muscular endurance and hip mobility,"1. Stand shoulder-width and hold one dumbbell vertically at chest with both hands.
2. Lower into a shallow squat with chest up and knees tracking toes.
3. Take short, controlled steps forward while keeping hips low.
4. Continue for the desired distance, then rise to stand.",Maintain a tall chest and neutral spine while stepping,4.3,"Obesity / Overweight, Osteoarthritis",Knee pain (general / chronic),
DB Prayer Press,60+,Weight Gain,Activation / Mobility,Upper,Dumbbell,Intermediate,3,12-8,8-6,60-90 sec,Improves shoulder pressing strength and scapular control,"1. Stand feet hip-width and press two dumbbells together at chest with palms touching.
2. Brace your core and press the dumbbells straight overhead until arms are extended.
3. Lower the dumbbells back to the chest while keeping palms in contact.
4. Reset your posture and repeat.",Pack your ribs to maintain a neutral spine,4.5,None,Limited overhead reach,
DB Seated Calf Raise,60+,Weight Gain,Activation / Mobility,Lower,Dumbbell,Intermediate,3,20-12,9-7,45-75 sec,Targets calf muscle strength and ankle stability,"1. Sit on a bench with knees bent and place one dumbbell on each knee.
2. Press through the balls of your feet to lift your heels as high as possible.
3. Lower your heels slowly until you feel a stretch, then repeat.",Lower heels slowly with control,2,None,Ankle pain,
DB Floor Wiper,All Ages,Weight Maintenance,Activation / Mobility,Core,Dumbbell,Intermediate,3,12-8,9-7,60-90 sec,Develops antirotation core strength and oblique control,"1. Lie on your back holding one dumbbell with both hands straight above your chest and legs extended toward the ceiling.
2. Brace your core and slowly lower both legs to the right side until you feel resistance, keeping shoulders on the floor.
3. Pull your legs back through center with control and lower them to the left side.
4. Keep your arms locked and shoulders pressed into the ground as you repeat.",Pin shoulders to the floor to protect your lower back,3.4,"Osteoporosis, Chronic Low Back Pain",Reduced core stability,
DB Weighted Inchworm,40-59,Weight Loss,Activation / Mobility,Full,Dumbbell,Intermediate,3,10-6,8-6,60-90 sec,Enhances hamstring mobility and shoulder stability through controlled core engagement,"1. Stand with feet hip-width and hold a dumbbell in each hand at thigh level.
2. Hinge at the hips and place the dumbbells on the floor, then walk your hands forward into a high plank.
3. Keep your core tight and walk your feet forward in small steps toward your hands until your legs are near straight.
4. Reverse the movement by walking your hands back to the dumbbells and hinging up to stand.",Brace your core and hinge from hips as you walk hands forward,4.5,"Osteoporosis, Chronic Low Back Pain",Reduced core stability,
DB Shoulder Circles,60+,Weight Maintenance,Activation / Mobility,Upper,Dumbbell,Intermediate,2,15-12,6-4,30-60 sec,Improves shoulder mobility and joint circulation,"1. Stand tall with feet hip-width and hold a light dumbbell in each hand at your sides.
2. Raise both arms to shoulder height with a soft bend in the elbows and palms facing down.
3. Make small, controlled circular motions with the arms using the shoulder joint.
4. Reverse the circle direction after the set and keep your core engaged.",Keep scapula stable and move shoulders slowly without shrugging,2.8,None,Limited shoulder range of motion,
DB Psoas March,All Ages,Weight Maintenance,Activation / Mobility,Lower,Dumbbell,Intermediate,3,12-10,7-5,45-75 sec,Strengthens deep hip flexors and promotes coordinated core activation,"1. Lie on your back with knees bent to 90 degrees and hold a dumbbell vertically against your hips with both hands.
2. Brace your core and lower one foot toward the floor in a slow, controlled march while keeping the opposite knee at 90 degrees.
3. Return the lowered leg to the starting position and repeat on the other side without letting your lower back arch.",Maintain a neutral lumbar spine and exhale as you lift each knee,2.7,None,Hip stiffness / limited hip mobility,
DB Hollow Rock (Weighted),40-59,Weight Gain,Activation / Mobility,Core,Dumbbell,Intermediate,3,12-8,9-7,60-90 sec,Builds anterior core endurance and dynamic spinal stability,"1. Lie on your back and hold a dumbbell with both hands extended overhead while lifting your shoulders and legs into a hollow position.
2. Rock smoothly back toward your heels and then forward to the starting hollow while keeping your lower back pressed to the floor.
3. Maintain tight core tension and controlled breathing throughout each rock.",Squeeze ribs down and press lower back into mat for controlled rocking,4.4,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Goblet Squat Pry,All Ages,Weight Gain,Activation / Mobility,Full,Dumbbell,Intermediate,3,12-8,9-7,60-90 sec,"Improves squat mechanics, hip mobility, and lower body strength","1. Stand with feet slightly wider than hip-width and hold a dumbbell vertically at your chest in a goblet grip.
2. Sit back and down into a deep squat keeping your chest up and elbows inside your knees.
3. Use your elbows to push your knees outward (pry) to open the hips and deepen the squat.
4. Drive through your heels to stand and reset your goblet hold before the next rep.",Keep chest upright and knees tracking toes while driving hips back and down,4.3,None,Hip stiffness / limited hip mobility,
DB Weighted Chest Fly Hold,40-59,Weight Gain,Flexibility / Stretching,Upper,Dumbbell,Intermediate,3,12-8,8-6,60-90 sec,Enhances chest muscle activation and shoulder stability,"1. Lie on a flat bench holding a dumbbell in each hand with palms facing each other and arms extended above your chest.
2. Keep a soft bend in both elbows and slowly lower your arms out to the sides until you feel a stretch in the chest.
3. Pause and hold the dumbbells steady at the lower position for the prescribed time.
4. Bring the dumbbells back together above your chest in a controlled motion and rack them safely.",Maintain slight elbow bend and retract shoulder blades,3,"Hypertension, Coronary Artery Disease",Shoulder pain (general),
DB Weighted Hamstring Fold,All Ages,Weight Gain,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,12-8,6-4,30-60 sec,Improves hamstring flexibility and posterior chain mobility,"1. Stand with feet hip-width apart holding one dumbbell with both hands in front of your thighs.
2. Hinge at the hips with a slight bend in the knees and push your hips back as you lower the dumbbell toward your shins.
3. Keep your spine neutral and hold the lowest position where you feel the hamstrings engaged.
4. Drive your hips forward to return to standing and place the dumbbell down safely.",Hinge from hips keeping a neutral spine and chest lifted,3.8,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Seated Side Bend Hold,60+,Weight Maintenance,Flexibility / Stretching,Core,Dumbbell,Intermediate,2,15-10,5-3,30-60 sec,Improves lateral trunk flexibility and oblique muscle endurance,"1. Sit upright on a bench holding a dumbbell in one hand beside your thigh and keep the other hand on your waist or thigh.
2. Slowly bend your torso toward the dumbbell side, sliding the weight down toward the knee while keeping your chest lifted.
3. Hold the lateral bend at the lowest comfortable point while maintaining a neutral spine.
4. Return to upright by contracting the opposite oblique and switch sides after completing the hold.",Keep ribs stacked over hips and brace core,2.6,"Hypertension, Coronary Artery Disease",Lumbar stiffness / restricted spinal mobility,
DB Weighted Ragdoll,All Ages,Weight Maintenance,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Promotes hamstring lengthening and increased spinal mobility,"1. Stand with feet hip-width apart and hold one dumbbell with both hands in front of you.
2. Hinge at the hips and let the dumbbell hang toward the floor with a soft bend in the knees.
3. Relax your upper back and let your chest and head drop toward your thighs while keeping hold of the dumbbell.
4. Engage your glutes and drive through your heels to return to standing while keeping the dumbbell close to your legs.",Hinge at hips and maintain long spine while relaxing neck,2.4,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Overhead Tricep Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Dumbbell,Intermediate,2,15-10,5-3,30-60 sec,Improves triceps and shoulder flexibility for better overhead range,"1. Sit or stand tall and hold one dumbbell vertically overhead in your right hand.
2. Bend your right elbow and lower the dumbbell behind your head while keeping the upper arm close to your ear.
3. Reach your left hand to gently support the right elbow and deepen the stretch.",Keep ribs down and spine neutral while pressing elbow overhead,4,None,Limited overhead reach,
DB Deep Squat Passive Hold,All Ages,Weight Loss,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,5-3,6-3,60-90 sec,Enhances hip and ankle mobility while promoting squat depth control,"1. Stand with feet shoulder-width apart and hold one dumbbell at your chest with both hands in a goblet grip.
2. Squat down by pushing your hips back and keeping your chest up until you reach a deep squat.
3. Relax and breathe while holding the deep squat and keep the dumbbell close to your chest.",Keep chest up and ribs down with knees tracking over toes,2.3,"Osteoarthritis, Obesity / Overweight",Hip stiffness / limited hip mobility,
DB Weighted Spinal Twist,60+,Weight Maintenance,Flexibility / Stretching,Core,Dumbbell,Intermediate,3,12-8,5-3,30-60 sec,Enhances thoracic rotation and spinal mobility with rotational loading,"1. Lie on your back with knees bent and feet flat, and hold a dumbbell with both hands across your chest.
2. Engage your core and slowly lower your knees together to one side while keeping both shoulders on the floor.
3. Pause at the end range, then use your core to bring your knees back to center.
4. Repeat the motion to the other side for desired reps.",Maintain a tall spine and inhale before rotating then exhale as you twist,2.6,"Osteoporosis, Chronic Low Back Pain",Thoracic stiffness (upper-back rigidity),
DB Weighted World's Greatest,40-59,Weight Loss,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,8-6,8-6,60-90 sec,Improves full body mobility and dynamic hip and thoracic coordination,"1. Step forward into a tall lunge and hold a dumbbell in the hand opposite your front leg.
2. Place your front-side hand on the floor inside your front foot and sink your hips toward the ground.
3. Rotate your torso and reach the dumbbell up toward the ceiling while following it with your eyes.
4. Return your hand to the floor, step back, and switch sides.",Brace core hinge at hips and control rotation while keeping shoulders down,4.5,None,Reduced core stability,
DB Trap Depression Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Dumbbell,Intermediate,3,5-3,5-3,30-60 sec,Promotes scapular depression control and upper back mobility,"1. Stand tall with a dumbbell in one hand and your arm relaxed at your side.
2. Allow the weight to pull your shoulder down while keeping your chest lifted.
3. Tilt your head away from the weighted side to deepen the stretch, then switch sides.",Gently pull shoulder blade down and relax neck avoid shrugging,4,None,Poor posture (rounded shoulders / forward head),
DB Weighted Butterfly Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Dumbbell,Intermediate,2,5-3,5-3,30-60 sec,Increases hip and groin flexibility and improves adductor range,"1. Sit on the floor with the soles of your feet together and knees bent outward.
2. Hold a dumbbell vertically with both hands and place it on top of your feet or against your lower shins.
3. Hinge forward from the hips with a straight spine until you feel a stretch in the inner thighs.
4. Maintain the position and gently deepen the forward lean as tolerated.",Keep spine tall and hinge forward from hips avoid rounding lower back,2,None,Hip stiffness / limited hip mobility,
DB Weighted Abdominal Lean,40-59,Weight Gain,Flexibility / Stretching,Core,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Enhances core strength and trunk stability,"1. Sit on the floor with knees bent and feet flat, holding one dumbbell at your chest with both hands.
2. Lean back slowly from the hips until your torso reaches about a 45-degree angle while keeping your core engaged.
3. Return to an upright position by contracting your abs and control the movement.",Brace core and hinge from hips keeping a neutral spine,2.6,"Osteoporosis, Chronic Low Back Pain",Lower back pain (non-specific),
DB Weighted Shin Box,40-59,Weight Loss,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,8-6,6-4,45-75 sec,Improves hip mobility and rotational control,"1. Sit on the floor in a shin box position with the front shin vertical and the back shin behind you.
2. Hold a dumbbell with both hands and rest it on your front thigh or across your hips.
3. Keep an upright chest and engage the hips as you rotate slightly toward the front leg.
4. Hold the position or perform small controlled lean-ins and lean-outs to load the hips.",Sit tall stack hips and shoulders control movement with slow transitions,2,None,Hip stiffness / limited hip mobility,
DB Weighted Lat Stretch,All Ages,Weight Loss,Flexibility / Stretching,Upper,Dumbbell,Intermediate,2,12-8,5-3,30-60 sec,Increases lat and shoulder mobility for improved overhead movement,"1. Stand feet shoulder-width and hold a light dumbbell in your right hand at your side.
2. Reach your left arm overhead and hinge slightly at the hips while sliding the dumbbell down the outside of your right thigh.
3. Lean your torso toward the right to feel the lat stretch and breathe evenly.
4. Return to center and repeat on the other side.",Keep ribcage down and reach through the arm without arching lower back,4,None,Limited overhead reach,
