,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
5,Wall Pushups (Head Protruding),60+,Weight gain,Strength,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Builds shoulder and chest endurance and reinforces pushing mechanics,"1. Stand facing a wall and place hands shoulder-width on the wall at chest height.
2. Step back so your head protrudes forward past your hands and your body is angled.
3. Bend elbows to bring your chest toward the wall, then push back to start.",Keep your neck aligned with the spine and draw the head back slightly,3.5
6,Shoulder Shrugs (Forward Roll),60+,Weight gain,Strength,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–15,6–7,45–60 sec,Strengthens upper trapezius and promotes awareness of scapular elevation patterns,"1. Stand tall with arms at your sides.
2. Shrug both shoulders upward toward your ears, then roll them forward.
3. Repeat the shrug and forward roll in a smooth, controlled motion.",Lift the shoulders straight up and lower them with control instead of rolling forward,2.5
7,High Plank (Sagging Shoulders),60+,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–45,7–8,60–90 sec,Develops core stability and encourages scapular control when performed correctly,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Allow your shoulders to sag slightly forward while keeping hips level.
3. Hold briefly, then reset to a neutral plank.",Stack shoulders over wrists and pull the ribcage up to prevent sagging,3.5
8,Lying Leg Raises (Chin to Chest),40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,45–60 sec,Targets lower abdominal engagement and hip flexor control during leg elevation,"1. Lie on your back and tuck your chin toward your chest.
2. Keep legs straight and lift them upward until perpendicular to the floor.
3. Lower the legs slowly toward the floor while maintaining the chin tuck.",Maintain controlled movement and proper alignment throughout,3.5
9,"Sitting ""Tech Neck"" Stretch",60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),2,20–30,6–7,15–30 sec,Improves cervical mobility and raises awareness of neck alignment during device use,"1. Sit tall and place both hands behind your head.
2. Tuck your chin toward your chest and gently guide your head downward.
3. Hold the stretch while keeping your upper back rounded.","Sit tall, retract the chin slightly, and breathe to lengthen the back of the neck",2
10,Cat-Cow (Emphasis on Rounding),60+,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),2,8–12,6–7,15–30 sec,Enhances spinal mobility and promotes coordination between flexion and extension movements,"1. Start on hands and knees with a neutral spine.
2. Exhale and round your spine upward, tucking your chin and pelvis.
3. Inhale and gently arch your back to lift your chest and tailbone.
4. Continue moving between the rounded and arched positions with emphasis on the rounded phase.",Maintain controlled movement and proper alignment throughout,2.5
11,Child’s Pose (Shoulders Hunched),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–60 sec,Promotes spinal and hip mobility,"1. Kneel on the mat with your toes together and knees apart.
2. Sit back toward your heels and reach your arms forward on the floor.
3. Lower your chest toward your thighs and rest your forehead on the mat.
4. Relax your shoulders and breathe while holding the position.",Draw shoulder blades down and back to open the chest and unload the shoulders,2
12,Butterfly Stretch (Slumped Back),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–60 sec,Improves inner thigh flexibility and hip range of motion,"1. Sit tall and press the soles of your feet together with knees dropped to the sides.
2. Hold your feet with your hands and gently press your knees toward the floor.
3. Lean forward from the hips while keeping the spine long and hold the stretch.",Maintain controlled movement and proper alignment throughout,2
13,High Knee March (Looking Down),60+,Weight loss,Cardio,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,7–8,30–45 sec,Increases hip flexor activation and coordination,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Lift one knee toward hip height while driving the opposite arm forward.
3. Lower the foot and immediately lift the other knee in a marching rhythm.
4. Maintain a steady pace and pump your arms as you alternate knees.",Keep gaze forward with chin slightly tucked and drive knees up with a braced core,4
14,Standing Side Bends (Hunched),60+,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–7,30–60 sec,Enhances lateral trunk mobility and oblique engagement,"1. Stand with feet shoulder-width apart and arms relaxed at your sides.
2. Reach one arm overhead and bend your torso to the opposite side.
3. Return to center and repeat on the other side with controlled motion.","Stand tall, lengthen through the side body and hinge from the waist without rounding",2.5
15,Prone Supermans (Neck Extended),40–59,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–12,6–7,45–60 sec,Strengthens posterior chain including lower back glutes and hamstrings,"1. Lie face down with arms stretched overhead and legs extended.
2. Simultaneously lift your arms, chest, and legs a few inches off the floor.
3. Keep your neck extended and gaze forward as you hold the position.
4. Lower back down with control and repeat the movement.",Keep neck neutral by looking at the floor a few inches ahead to avoid overextension,3
16,Jumping Jacks (Arms Forward),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,30–50,7–8,30–60 sec,Boosts cardiovascular fitness and full body coordination,"1. Stand tall with feet together and arms at your sides.
2. Jump your feet wide while swinging both arms forward to shoulder height.
3. Jump feet back together while returning your arms to your sides and repeat.",Move arms in a controlled arc and keep shoulders down away from the ears,6.5
17,Bird-Dog (Looking Down),60+,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–60 sec,Improves core stability and contralateral coordination,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Extend one arm forward and the opposite leg straight back until aligned with the torso.
3. Keep your head looking down and your spine neutral as you hold the position.
4. Return to hands and knees and repeat on the other side.",Maintain controlled movement and proper alignment throughout,3
18,Reverse Lunges (Chest Dropped),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Develops unilateral leg strength and balance control,"1. Stand tall and step one foot back into a controlled lunge.
2. Lower your back knee toward the floor while keeping weight in the front heel.
3. Push through the front heel to return to standing and switch legs.","Maintain an upright chest, step back with control and press through the front heel",4.5
19,Stair Climbing (Hunched Over),60+,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,30–60,7–8,60–90 sec,Enhances lower body endurance and functional stair mobility,"1. Stand facing a stair with feet hip-width apart.
2. Step onto the stair with one foot and drive through that heel to lift your body up.
3. Bring the trailing foot up to the same stair and stand tall.
4. Step back down one foot at a time and repeat the sequence.",Maintain controlled movement and proper alignment throughout,7
20,Dead Bug (Head Off Floor),40–59,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–15,6–7,30–45 sec,Builds deep core stability and improves limb to core coordination,"1. Lie on your back and lift your head and shoulders off the floor while raising both knees bent over hips.
2. Extend one arm overhead and lower the opposite leg toward the floor with control.
3. Return to the starting position and repeat on the other side while keeping your head lifted.",Maintain controlled movement and proper alignment throughout,2.5
21,Standing Quad Stretch (Slumped),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,2–3,6–7,30–45 sec,Improves quadriceps flexibility and hip mobility,"1. Stand with feet hip-width apart and slump your shoulders forward.
2. Bend your right knee and reach back to grab your ankle with your right hand.
3. Pull your ankle toward your glute, hold, then switch sides.",Keep chest lifted and core braced to maintain a neutral spine,2.3
22,Doorway Chest Stretch (Internal),60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,2–3,6–7,30–45 sec,Opens chest and improves shoulder joint mobility,"1. Stand in a doorway and place your forearms on the frame with palms facing down.
2. Step forward slightly until you feel a stretch across your chest with internal shoulder rotation.
3. Hold the position, then step back and relax.",Retract and depress the shoulder blades to open the chest and externally rotate the shoulders,2.3
23,Walking on Incline (Lean Forward),60+,Weight loss,Cardio,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Increases lower body strength and elevates cardiovascular demand,"1. Set an incline on a treadmill or find a gentle hill.
2. Lean forward from your ankles so your torso creates an angled line.
3. Walk briskly up the incline while maintaining the forward lean.",Maintain controlled movement and proper alignment throughout,5
24,Floor T-Spine Twist (Head Forward),60+,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–45 sec,Enhances thoracic mobility and rotational spinal range,"1. Lie on your back with knees bent and arms extended to the sides in a T.
2. Tuck your chin forward and drop both knees to one side while keeping shoulders on the floor.
3. Pause, return to center, then repeat to the other side.
4. Keep movements controlled and repeat for desired reps.",Maintain controlled movement and proper alignment throughout,2.3
25,Scissor Kicks (Neck Flexed),40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,7–8,30–60 sec,Engages core muscles and improves abdominal endurance,"1. Lie on your back with hands under your hips and chin tucked toward your chest.
2. Lift both legs a few inches off the ground and begin alternating scissor-like overlaps.
3. Maintain the neck flexion and steady core throughout the set.",Maintain controlled movement and proper alignment throughout,4
26,Deep Air Squat (Shoulders Dropped),All Ages,Weight Maintenance,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Builds lower body strength and hip mobility through full squat range,"1. Stand with feet shoulder-width apart and drop your shoulders forward and down.
2. Push your hips back and bend your knees to lower into a deep squat.
3. Keep chest neutral and knees tracking over toes.
4. Drive through your heels to return to standing.",Pull shoulders back and down and keep chest up while sitting back into the heels,5
27,Plie Squats (Hands on Hips/Slumped),60+,Weight gain,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Strengthens inner thighs and improves hip external rotation mobility,"1. Stand with a wide stance, toes turned out, and hands resting on your hips while slumping slightly.
2. Bend your knees and lower into a plié until your thighs reach parallel or lower.
3. Press your knees outward and push through your heels to rise back up.",Lift the chest and lengthen the spine while bracing the core through the movement,4.5
28,Downward Dog (Head Protruding),All Ages,Weight Maintenance,Flexibility / Stretching,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,5–8,6–7,30–60 sec,Stretches posterior chain and promotes shoulder stability,"1. Start on hands and feet and lift your hips into a downward dog position.
2. Press your palms into the mat and push hips up and back while allowing your head to protrude forward.
3. Reach your heels toward the floor and hold the position.",Maintain controlled movement and proper alignment throughout,2.8
29,Russian Twists (Feet Down/Hunched),All Ages,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,12–20,7–8,45–60 sec,Enhances oblique strength and trunk rotational control,"1. Sit with knees bent, feet flat on the floor, and your torso hunched forward.
2. Lean back slightly and rotate your torso to touch the floor beside your hip or hold a weight.
3. Rotate to the opposite side and repeat while keeping feet down.",Maintain controlled movement and proper alignment throughout,4.5
30,Standing Side Leg Lift (Tilted),60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–7,30–45 sec,Targets hip abductors and improves lateral stability and balance,"1. Stand tall and tilt your torso slightly toward the supporting leg.
2. Lift the opposite leg out to the side to hip level with a controlled motion.
3. Lower the leg with control and repeat for the desired number of reps.",Maintain controlled movement and proper alignment throughout,2.8
31,Arm Circles (Shoulders Forward),60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),2,15–20,6–7,30–45 sec,Improves shoulder mobility and scapular control,"1. Stand tall with feet hip-width and arms extended straight at shoulder height.
2. Rotate both arms forward in small controlled circles.
3. Keep shoulders down and pulled slightly back throughout.",Pull shoulders down and back and keep chest open during arm circles,3
32,Bear Crawls (Head Sagging),40–59,Weight gain,Strength,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,7–8,60–90 sec,Develops core strength and whole body coordination,"1. Start on hands and toes with hips low and eyes looking slightly forward.
2. Move opposite hand and foot forward a few inches while maintaining a flat back.
3. Take small, controlled steps keeping the core engaged.
4. Keep the neck neutral and gaze ahead to avoid sagging.",Keep a long neutral neck by looking slightly ahead to prevent head sag,6.5
33,Deep Lateral Shuffles (Hunched),60+,Weight Maintenance,Cardio,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,10–15,6–8,45–60 sec,Improves lateral agility and hip stability,"1. Stand with feet wider than hip-width and knees slightly bent in an athletic stance.
2. Push hips back and chest up to prevent a hunched posture.
3. Shuffle quickly three to five steps to one side with low, controlled movements.
4. Change direction and repeat while keeping the spine long.",Stay tall with a proud chest and neutral spine to avoid hunching during shuffles,6
34,Standing Cross-Body Toe Touch,40–59,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–12,6–7,30–45 sec,Improves hamstring flexibility and thoracic rotation mobility,"1. Stand tall with feet hip-width apart and arms relaxed at sides.
2. Reach the right hand across your body toward the left foot while hinging at the hips.
3. Return upright and repeat on the other side with a straight spine.",Maintain controlled movement and proper alignment throughout,2.8
35,Hollow Body Hold,All Ages,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,7–8,60–90 sec,Builds core endurance and improves spinal stability,"1. Lie on your back and press your lower back into the floor while extending legs and arms slightly off the ground.
2. Lift your head, shoulders, and legs a few inches and draw the belly toward the spine.
3. Hold the position with steady breathing and a flat lower back on the floor.","Press your lower back into the floor, draw the ribs down, and breathe steadily",3.5
36,Spiderman Pushups,40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–9,90–120 sec,Enhances pushing strength while improving hip mobility and thoracic rotation,"1. Start in a high plank with hands shoulder-width and body in a straight line.
2. Lower your chest toward the floor by bending elbows while bringing your right knee toward your right elbow.
3. Push back up to plank and return the leg to neutral.
4. Repeat the movement on the opposite side with controlled rhythm.",Maintain controlled movement and proper alignment throughout,7
37,Pike Pushups (Neck Protruding),40–59,Weight gain,Strength,Upper,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–10,7–8,60–90 sec,Builds shoulder pressing strength and overhead stability,"1. Begin in a pike position with hips raised and head aligned between arms.
2. Bend the elbows and lower the crown of your head toward the floor with control.
3. Push through your shoulders to extend the arms and lift back to the pike position.
4. Keep the neck neutral and avoid jutting the chin forward.",Maintain controlled movement and proper alignment throughout,6
38,Mountain Climbers (Head Sagging),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,6–8,30–45 sec,Improves cardiovascular conditioning and core stability during dynamic movement,"1. Assume a high plank with hands under shoulders and body in a straight line.
2. Drive one knee toward the chest, then alternate legs in a quick, controlled rhythm.
3. Keep the core braced and head in line with the spine to prevent sagging.",Keep your gaze down and maintain a strong plank line to prevent head sag,8
39,Plank Jacks (Impact with Hunch),40–59,Weight loss,Cardio,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,15–25,7–8,45–60 sec,Increases core endurance and adds dynamic cardiovascular challenge,"1. Start in a high plank with hands under shoulders and spine long.
2. Jump both feet out wide and then back together with soft, controlled landings.
3. Maintain a braced core and lifted chest to avoid hunching.","Stack shoulders over wrists, brace the core, and move feet smoothly to avoid hunching",6.5
40,Burpees (Modified/Chest In),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–12,7–9,90–120 sec,Improves full body conditioning and functional movement efficiency,"1. Stand tall then squat down and place hands on the floor in front of your feet.
2. Step back one foot at a time into a plank while keeping the chest low.
3. Step the feet back toward the hands and stand up or perform a small jump.
4. Tuck the chest slightly and brace the core during the transition.","Keep your chest lifted, brace the core, and move through the burpee with controlled landings",8.5
41,Speed Skaters (Looking Down),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,12–16,6–8,30–60 sec,Improves lateral power and dynamic balance,"1. Start in a slight squat on your right foot with your left foot behind and look down.
2. Push off the right foot laterally and swing the left leg behind while landing on the left foot.
3. Lower your chest slightly and swing your arms for balance.
4. Drive off the landing and jump to the opposite side with a controlled landing.",Keep chest lifted and gaze forward to maintain a neutral spine,6.5
42,Jump Squats (Hands Behind Head),All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–12,7–9,60–90 sec,Increases lower body power and vertical jump ability,"1. Start standing with feet hip-width and hands clasped behind your head.
2. Lower into a squat by bending at the hips and knees.
3. Explode upward into a jump while keeping your hands behind your head.
4. Land softly into a squat and repeat.",Brace your core and land softly with knees tracking over toes,7.5
43,Reverse Crunch (Neck Bracing),All Ages,Weight gain,Strength,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–7,30–45 sec,Strengthens lower abdominal control and core stability,"1. Lie on your back with knees bent and hands gently supporting the back of your head.
2. Curl your hips up toward your chest by contracting your lower abs.
3. Lower your hips back down with control while keeping the neck supported.",Keep your neck long and chin slightly tucked while lifting with your abs,3
44,Hanging Knee Raises (Swing/Slump),40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–12,6–8,45–60 sec,Develops hip flexor and lower abdominal engagement,"1. Hang from a pull-up bar with arms straight and let your shoulders slump slightly.
2. Swing your knees up toward your chest using a controlled momentum.
3. Lower your legs back down while allowing your torso to slump again.
4. Repeat the raise with steady, rhythmic motion.",Control the movement from your core and avoid swinging your legs,4
45,Side Plank (Top Shoulder Forward),All Ages,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,30–45,6–7,30–45 sec,Enhances lateral core endurance and shoulder stabilizer activation,"1. Lie on your side and prop yourself up on your forearm with feet stacked.
2. Lift your hips into a side plank and push your top shoulder slightly forward.
3. Hold a straight line from head to heels while breathing steadily.",Stack shoulders and push the top shoulder forward to prevent torso rotation,2.8
46,Bulgarian Split Squats (Hunched),40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–9,90–120 sec,Builds unilateral leg strength and improves single leg balance,"1. Stand a couple feet in front of a bench and place the top of one foot on the bench behind you while hunched forward.
2. Lower your back knee toward the ground by bending your front knee.
3. Push through the front heel to return to start while keeping the hunched torso.
4. Repeat for reps then switch legs.",Keep chest up and maintain a neutral spine throughout the descent,6
47,Inchworms (Head Shifting),All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–45 sec,Promotes thoracic mobility and dynamic hamstring flexibility,"1. Stand tall and hinge at the hips, then place your hands on the floor.
2. Walk your hands forward into a plank while allowing your head to shift forward.
3. Pause in the plank, then walk your hands back toward your feet.
4. Hinge at the hips and rise up to return to standing.",Keep a long neck and eyes on the floor to preserve spinal alignment,4.5
48,Donkey Kicks (Neck Snapping),40–59,Weight gain,Strength,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–7,30–45 sec,Targets glute activation and hip extension control,"1. Start on all fours with hands under shoulders and knees under hips.
2. Drive one heel upward toward the ceiling while keeping your spine neutral and avoiding sudden neck motion.
3. Lower the knee back under control and repeat on the other side.",Maintain a neutral neck and stabilize your core while driving the leg back,3.5
49,Frogger Jumps (Chest Down),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,10–15,7–8,60–90 sec,Improves explosive coordination and full body power,"1. Start in a low squat with your chest down and hands on the floor.
2. Jump both feet back into a plank, then immediately jump them forward toward your hands.
3. Land softly back into the low squat while keeping the chest down.",Keep your chest lifted on each landing to avoid collapsing forward,7
50,Box Step-Ups (Looking Down),40–59,Weight gain,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,10–12,7–8,60–90 sec,Enhances functional leg strength and stair climbing capacity,"1. Stand facing a sturdy box with feet hip-width and gaze down at the box.
2. Step one foot onto the box and press through the heel to lift your body up.
3. Step the trailing foot onto the box to stand tall.
4. Step down with control and repeat leading with the opposite foot.",Keep chest up and gaze forward while stepping through the heel,4.5
51,Walking Lunge with Twist (Hunched),All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,10–12,6–8,60–90 sec,Enhances dynamic balance and rotational core stability,"1. Start standing with feet hip-width and torso slightly hunched.
2. Step forward into a deep lunge and lower until both knees are bent.
3. Twist your torso toward the front leg while keeping the hunched position.
4. Push through the front heel to stand and repeat with the other leg.",Keep chest lifted and pull shoulders back as you twist,5
52,Sprints (Shoulders Up/Neck Out),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,4–6,8–9,120–180 sec,Boosts anaerobic power and leg muscle recruitment,"1. Start in a sprint stance with shoulders shrugged and neck pushed slightly forward.
2. Drive knees up and pump arms aggressively while sprinting at top speed.
3. Maintain explosive form for the interval.
4. Decelerate and walk to recover.",Relax shoulders down and keep neck long with eyes forward,10
53,Butt Kicks (Running/Looking Down),All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,20–30,7–8,30–60 sec,Increases hamstring activation and running cadence,"1. Start standing and look down at the ground.
2. Jog in place while kicking each heel up to touch the glute on each stride.
3. Keep a steady running rhythm while maintaining the downward gaze.",Keep head neutral and gaze forward to maintain upright posture,6
54,High Knees (Shoulders Shrugged),All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,30–40,7–8,30–60 sec,Improves hip flexor strength and cardiovascular activation,"1. Start standing with shoulders shrugged upward.
2. Run in place driving knees up to waist height on each rep.
3. Pump arms quickly while maintaining the shrugged shoulders.",Lower and relax shoulders while driving knees up with tall posture,8
55,Surfer Pop-ups (Low Chest),40–59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–8,60–90 sec,Develops explosive upper body coordination and quick transition skills,"1. Start lying prone with chest low and hands by the ribs.
2. Push through your hands to lift the upper body slightly off the ground.
3. Jump your feet under you into a low surfer crouch while keeping chest low.
4. Balance briefly then return to the prone start.",Keep chest lifted and drive through hips to rise into the pop-up,6
56,Squat Jacks (Hunched Position),40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,12–15,7–8,45–60 sec,Combines lower body strength and aerobic conditioning,"1. Start standing with feet together and torso hunched forward.
2. Jump feet wide into a squat while keeping the hunched torso.
3. Jump feet back together and repeat the squat jack motion.",Keep a neutral spine and open the chest as you jump in and out,7
57,Crab Walk (Low Hips/Shrugged),40–59,Weight Maintenance,Strength,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,20–30,6–7,60–90 sec,Enhances shoulder stability and posterior chain engagement,"1. Start seated with hands behind you, feet flat, and hips lifted low.
2. Shift weight and step one hand and opposite foot sideways to move.
3. Continue stepping in the same direction while keeping hips low and shoulders shrugged.",Lift hips to align the torso and relax shoulders away from ears,4.5
58,Single-Leg Romanian Deadlift,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Improves single leg balance and hamstring strength,"1. Start standing on one leg with a slight bend in the supporting knee.
2. Hinge at the hips and lower your torso while extending the free leg straight back.
3. Reach toward the standing foot with your hands while keeping a neutral spine.
4. Drive hips forward to return to standing on the same leg.",Maintain controlled movement and proper alignment throughout,3.5
59,Plank with Shoulder Taps (Sagging),40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,10–20,6–7,30–60 sec,Builds core endurance and anti rotational stability,"1. Start in a high plank and allow your hips to sag slightly.
2. Lift one hand and tap the opposite shoulder while maintaining the sag.
3. Alternate hands and continue the shoulder taps while keeping the plank.",Keep hips level and brace the core to prevent the midline from dropping,3
60,Lunge Pulses (Shoulders Forward),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,12–15,6–7,45–60 sec,Increases quadriceps endurance and joint control in lunging position,"1. Start by stepping into a forward lunge with shoulders tipped forward.
2. Lower into the lunge and perform small pulses up and down in the bottom range.
3. Maintain the forward shoulder position while pulsing, then switch legs.",Retract shoulders and keep chest lifted while pulsing in the lunge,4.5
61,Leg Flutters (Neck Bracing),40–59,Weight loss,Strength,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,30–45,6–7,30–45 sec,Improves core endurance and lower abdominal activation,"1. Lie on your back with hands under your hips and legs extended.
2. Lift your legs a few inches off the ground and point your toes.
3. Flutter your legs in small, alternating kicks while keeping your core tight.
4. Tuck your chin slightly and keep your neck relaxed.",Keep chin tucked and neck long throughout the leg flutters,3
62,Hindu Pushups (Looking Down),40–59,Weight gain,Strength,Upper,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Enhances shoulder mobility and upper body muscular endurance,"1. Start in a downward dog with hands shoulder-width and hips high.
2. Scoop your chest forward and down in a smooth arc toward the floor.
3. Press through your palms to lift your chest up into an upward dog.
4. Return to the starting position in a controlled reverse arc.",Keep head neutral and gaze slightly forward during Hindu pushups,5
63,Dive Bomber Pushups (Poor Control),40–59,Weight gain,Strength,Upper,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,6–10,7–8,60–90 sec,Develops upper body strength and dynamic shoulder stability,"1. Begin in a pike position with hips high and hands shoulder-width.
2. Drop your head and chest toward the floor while sweeping forward and down.
3. Press your chest up and forward into an upward-facing position.
4. Reverse the motion slowly to return to the starting pike position.",Move deliberately and lower with control through each dive bomber rep,4.5
64,V-Sits (Arms Forward/Slumped),40–59,Weight loss,Strength,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,10–15,6–7,45–60 sec,Strengthens core muscles and improves midline stability,"1. Sit with legs extended and hands reaching forward beside your knees.
2. Lean back slightly and lift your legs to form a V with your torso.
3. Hold a tall chest and straight spine while maintaining balance.","Sit tall, brace the core and draw shoulders down and back in V‑sits",3.5
65,Side-to-Side Floor Wipers (Slumped),40–59,Weight Maintenance,Mobility,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–12,7–8,60–90 sec,Increases rotational core control and oblique engagement,"1. Lie on your back with arms outstretched and legs raised toward the ceiling.
2. Lower both legs to one side in a controlled motion until you feel resistance.
3. Use your core to lift and move the legs to the opposite side with a steady rhythm.",Maintain a neutral spine and keep shoulders grounded while sweeping side to side,4
66,Diamond Pushups (Elbows Out),40–59,Weight gain,Strength,Upper,Bodyweight,Intermediate,Poor posture (rounded shoulders / forward head),3,6–10,7–9,90–120 sec,Targets triceps strength and improves elbow extension power,"1. Place your hands together under your chest with thumbs and index fingers forming a diamond.
2. Set your feet hip-width and engage your core to form a straight line.
3. Lower your chest while keeping your elbows close to your sides.
4. Push back up to full arm extension while maintaining a neutral head position.",Keep elbows tucked close to the ribs and lower with steady control in diamond pushups,4
67,Skater Hops (Aggressive Forward Lean),40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,12–20,7–8,60–90 sec,Enhances lateral power and single leg balance,"1. Stand on one leg with a slight knee bend and arms ready for balance.
2. Push off explosively to the opposite leg, landing softly on the ball of your foot.
3. Drive your chest upright and swing your arms for stability.
4. Repeat the lateral hop with controlled landings and stable posture.","Land softly with hips back, chest up and knees tracking over the toes",6
