Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
V-Step (Hands on Hips),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Elbow pain,3,12–15,6–7,30–45 sec,Enhances lateral coordination and lower body balance,"1. Stand tall with hands on hips.
2. Step diagonally right creating a wide V with your legs.
3. Push through the right foot to return to center.
4. Repeat the step to the left side.",Keep core braced and hips level as you step,3.8,None
Ankle Circles,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Elbow pain,2,10–15,6–7,30–45 sec,Increases ankle mobility and joint range of motion,"1. Sit or stand and lift one foot off the ground.
2. Rotate the lifted ankle clockwise in a smooth circle.
3. Reverse and rotate the ankle counterclockwise.",Move the ankle slowly through its full range with control,4,None
Calf Stretch (Wall - Flat Palm),40-59,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,Elbow pain,3,30–45,6–7,30–45 sec,Improves calf flexibility and ankle dorsiflexion,"1. Face a wall and place both palms flat at shoulder height.
2. Step one foot back with heel down and keep the other knee slightly bent.
3. Lean forward into the wall until you feel the calf stretch.
4. Switch legs and repeat the stretch on the other side.","Keep back heel down and maintain a tall, neutral spine",2,None
Heel-to-Toe Rocking,60+,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Elbow pain,3,10–15,6–7,30–45 sec,Enhances balance and gait stability,"1. Stand tall with feet together and arms relaxed.
2. Rock back onto your heels and lift your toes.
3. Rock forward onto your toes and lift your heels.",Rock slowly and keep weight centered over the foot,2,None
Modified Plank (Forearms),All Ages,Weight Gain,Strength,Core,Bodyweight,Beginner,Elbow pain,3,20–30,7–8,60–90 sec,Strengthens core muscles and promotes spinal support,"1. Start on your forearms and knees with a neutral spine.
2. Align shoulders over elbows and lengthen through the torso.
3. Engage your core and lift knees slightly off the ground if able.
4. Hold a steady breath and maintain a straight line from head to hips.",Maintain a straight line from head to hips and avoid sagging the lower back,3,"Hypertension, Coronary Artery Disease"
Knee Lifts (Hands on Waist),40-59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Elbow pain,3,12–15,6–7,30–45 sec,Boosts hip flexor strength and walking mechanics,"1. Stand tall and place hands on your waist.
2. Lift one knee toward your chest keeping your torso upright.
3. Lower the foot back down and perform the lift with the other leg.",Engage your core and lift the knee with controlled motion,3,None
T-Spine Rotation (Side Lying),60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Elbow pain,3,8–12,6–7,30–45 sec,Improves thoracic mobility and rotational range of motion,"1. Lie on your side with knees bent and head supported.
2. Place your top hand behind your head and keep hips stacked.
3. Rotate your upper torso open toward the ceiling using the top arm.
4. Return to the start position with control and repeat.",Keep hips stacked and rotate the chest open with control,4,None
Child's Pose (Arms by Sides),All Ages,Weight Gain,Flexibility / Stretching,Full,Bodyweight,Beginner,Elbow pain,2,30–60,6–7,30–45 sec,Promotes spinal elongation and relaxation of back muscles,"1. Kneel and sit back onto your heels.
2. Walk your hands back alongside your body with palms facing up.
3. Rest your forehead on the mat and relax your shoulders.",Breathe deeply and relax the hips back while keeping the neck neutral,4,None
Flamingo Stand,40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Elbow pain,3,20–30,7–8,45–60 sec,Challenges single leg balance and proprioception control,"1. Stand tall and shift your weight onto one leg.
2. Bend the opposite knee and lift the heel toward your glute.
3. Hold your balance and lower the foot with control.",Stand tall with a soft supporting knee and focus on a fixed point,2,None
Side Lying Leg Raise,60+,Weight Loss,Strength,Lower,Bodyweight,Beginner,Elbow pain,3,12–15,6–8,45–60 sec,Strengthens hip abductors and lateral pelvic stability,"1. Lie on your side in a straight line with head supported.
2. Stack your legs and point your toes forward.
3. Lift the top leg slowly to about hip height without rotating the torso.
4. Lower the leg with control and repeat.",Keep hips stacked and lift the top leg with controlled movement,2.8,None
Lateral Shuffles (Hands on Hips),All Ages,Weight Loss,Cardio,Full,Bodyweight,Beginner,Elbow pain,3,20–30,7–8,60–90 sec,Improves lateral agility and hip coordination,"1. Stand with feet shoulder-width apart and hands on hips.
2. Bend knees slightly and lower into an athletic stance.
3. Shuffle to the right with quick, controlled steps while keeping hips level.
4. Reverse direction and shuffle to the left with the same controlled steps.","Keep hips low, chest lifted, and step with control",5.5,None
Seated Pelvic Tilt,40-59,Weight Gain,Mobility,Core,Bodyweight,Beginner,Elbow pain,3,10–15,6–7,30–45 sec,Enhances lower back mobility and core awareness,"1. Sit upright on a chair with feet flat on the floor.
2. Tilt the pelvis posteriorly to flatten the lower back against the seat.
3. Return the pelvis to a neutral upright position and repeat.",Exhale to tilt the pelvis and press the lower back into the seat,2,None
Standing Side Bend (Arm Hanging),60+,Weight Maintenance,Flexibility / Stretching,Core,Bodyweight,Beginner,Elbow pain,3,10–15,6–7,30–45 sec,Increases lateral trunk flexibility and side body mobility,"1. Stand tall with one arm hanging by your side.
2. Slide the hanging arm down and bend the torso toward that side.
3. Return to center and repeat on the other side.",Keep hips stacked and bend from the waist with a long spine,3,None
Bird-Dog (Legs Only),All Ages,Weight Gain,Balance & Stability,Core,Bodyweight,Beginner,Elbow pain,3,8–12,6–7,30–60 sec,Improves glute activation and spinal stability,"1. Start on hands and knees with a neutral spine.
2. Extend one leg straight back until it is in line with the torso.
3. Lower the leg back to the start and repeat on the other side.","Maintain a neutral spine and lift the leg with control, avoiding hip rotation",3,None
Calf Raises (Hands on Wall),40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Elbow pain,3,12–20,7–8,45–60 sec,Strengthens calf muscles and ankle endurance,"1. Stand facing a wall and place both hands on the wall at shoulder height.
2. Rise onto the balls of both feet by lifting the heels.
3. Lower the heels back down with control and repeat.",Rise through the balls of the feet with ankles aligned and spine tall,3,None
Butt Kicks (Walking),60+,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Elbow pain,3,20–30,6–8,30–60 sec,Promotes hamstring mobility and light cardiovascular conditioning,"1. Walk forward at a steady pace with an upright posture.
2. Lift one heel toward the glutes so the foot approaches the backside.
3. Land softly on the forefoot and continue alternating heels to glutes.",Keep torso upright and pull the heel toward the glute with controlled cadence,4,None
Knee-to-Chest (Supine),All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Elbow pain,3,10–12,6–7,30–45 sec,Improves hip mobility and pelvic awareness,"1. Lie on your back with both legs extended and arms at your sides.
2. Draw one knee toward your chest and hold it with both hands behind the thigh.
3. Release the leg back to the floor and repeat with the other leg.",Press the lower back into the mat and hug the knee with a gentle pull,1.8,Sleep Apnea
Hollow Body Hold (Arms at Sides),All Ages,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Elbow pain,3,8–12,7–9,60–90 sec,Builds core endurance and enhances trunk rigidity for stable posture,"1. Lie on your back with arms resting flat at your sides.
2. Lift your head, shoulders, and legs a few inches off the floor while keeping the lower back pressed down.
3. Hold the hollow position with legs and arms steady and then lower back down.","Maintain a posterior pelvic tilt, press the lower back to the floor, and breathe steadily",5,"Hypertension, Coronary Artery Disease"
Grapevine (Hands on Hips),40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Elbow pain,2,20–30,6–7,30–60 sec,Improves lateral coordination and lower body agility,"1. Stand tall with feet together and hands on hips.
2. Step your right foot out to the right side.
3. Cross your left foot behind the right and step right again.
4. Bring the left foot to meet the right and reset your weight.",Maintain an upright torso and step with control keeping hips level,3.4,None
Shoulder Rolls,60+,Weight Gain,Mobility,Upper,Bodyweight,Beginner,Elbow pain,3,10–15,6–7,30–45 sec,Enhances shoulder mobility and releases upper back tension,"1. Stand or sit tall with arms relaxed at your sides.
2. Lift both shoulders up toward your ears.
3. Roll the shoulders back and down in a smooth circle.",Roll the shoulders slowly through full range and keep the neck relaxed,2,None
Neck Extension Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Elbow pain,2,20–30,6–7,20–40 sec,Increases neck extension range and supports head alignment,"1. Sit or stand tall with a neutral spine.
2. Tilt your head backward and lift your chin toward the ceiling.
3. Hold the position briefly and return your head to neutral.",Keep the spine neutral and extend the neck slowly without forcing the movement,4,None
Rock the Boat,40-59,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Elbow pain,3,10–15,7–8,45–60 sec,Challenges core stability and balance control,"1. Sit on the mat with knees bent and feet flat, holding your shins.
2. Lean back slightly and lift your feet so your shins are parallel to the floor.
3. Rock back onto your tailbone and then forward onto your sit bones.
4. Repeat the rocking motion with controlled movements.",Brace the core and control the rocking motion without arching the lower back,3.5,None
Forearm Plank,All Ages,Weight Loss,Strength,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,30–60,7–8,60–90 sec,Builds core strength and enhances trunk endurance,"1. Place forearms on the floor with elbows under shoulders.
2. Extend legs and balance on toes so your body forms a straight line.
3. Engage your core and hold the straight position.",Maintain controlled movement and proper alignment throughout,3,"Hypertension, Coronary Artery Disease"
Wall Sit,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,30–60,7–8,60–90 sec,Develops lower body endurance and quadriceps strength,"1. Stand with your back against a wall and feet hip-width apart.
2. Slide down the wall until your knees form about a 90-degree angle.
3. Hold the seated position with weight in your heels.",Keep knees aligned over ankles and press the lower back flat against the wall,3,"Hypertension, Coronary Artery Disease"
Prone W-Raises,60+,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–12,6–7,45–60 sec,Strengthens scapular stabilizers and improves shoulder posture,"1. Lie face down with elbows bent and hands near your shoulders in a W shape.
2. Squeeze your shoulder blades and lift your forearms and chest off the floor.
3. Lower back down with control.",Squeeze the shoulder blades and lift with control while keeping the neck neutral,2.5,None
High Knees (Slow),All Ages,Weight Loss,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,30–45,7–8,30–60 sec,Improves hip mobility and rhythmic coordination,"1. Stand tall with feet hip-width apart.
2. Lift your right knee toward your chest while driving your opposite arm forward.
3. Lower the right foot and lift the left knee in the same controlled manner.
4. Maintain a slow, steady rhythm.",Maintain an upright posture and lift knees with controlled hip flexion and steady breathing,5.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism"
Side Shuffles,40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,20–30,7–8,30–60 sec,Enhances lateral agility and hip stability,"1. Stand with knees slightly bent and hips low.
2. Take a quick side step to the right, then follow with the left foot.
3. Reverse the direction by shuffling to the left and continue alternating.",Maintain controlled movement and proper alignment throughout,5,None
Neck Rolls,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,8–12,6–7,20–40 sec,Promotes neck mobility and gentle muscular relaxation,"1. Sit or stand tall with your spine straight.
2. Drop your chin to your chest and slowly roll your head to the right shoulder.
3. Continue the roll to the back, then to the left shoulder, and return to the chest.",Move the neck slowly in a controlled circle while keeping the shoulders relaxed,4,None
Shoulder Rolls,All Ages,Weight Gain,Mobility,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,6–7,15–30 sec,Improves shoulder mobility and releases upper back tension,"1. Stand tall or sit upright.
2. Lift shoulders toward ears, then roll them back and down in a smooth circle.
3. Repeat several times, then reverse the direction.",Keep neck long and roll shoulders in slow controlled circles,4,None
Hamstring Stretch (Supine),40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–7,30–60 sec,Increases hamstring flexibility and promotes hip extension range,"1. Lie on your back with both legs extended.
2. Loop a strap or hold behind one thigh and lift that leg toward the ceiling.
3. Keep the lifted leg straight with a soft knee and feel the stretch in the hamstring.
4. Lower the leg with control and switch sides.",Keep lower back grounded and hinge from the hip to stretch the hamstring,4,Sleep Apnea
Forearm Side Plank,60+,Weight Gain,Strength,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,7–8,45–60 sec,Enhances lateral core stability and shoulder endurance,"1. Lie on your side with forearm under your shoulder and elbow aligned.
2. Press forearm into the floor and lift hips until your body forms a straight line.
3. Keep hips stacked and core engaged.
4. Lower hips with control and switch sides.",Keep body in a straight line and brace the core,3,"Hypertension, Coronary Artery Disease"
Single Leg Stance,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–20,6–7,30–45 sec,Improves standing balance and ankle proprioception,"1. Stand tall with feet hip-width apart.
2. Shift weight onto one foot and lift the other foot off the ground with a bent knee.
3. Maintain an upright posture and steady breathing.
4. Lower the foot with control and repeat on the other side.",Keep standing knee slightly bent and hips level while focusing on a fixed point,4,Sarcopenia
Wall Angels,40-59,Weight Gain,Mobility,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–7,30–45 sec,Promotes scapular mobility and thoracic extension for better posture,"1. Stand with your back and head against a wall and feet a few inches away.
2. Press your lower back, upper back, and arms into the wall in a goalpost position.
3. Slide your arms up overhead while keeping contact with the wall.
4. Reverse the motion and return to the starting position.",Keep head and lower back against the wall and slide arms slowly with control,2,None
Glute Bridges,60+,Weight Gain,Strength,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,7–8,60–90 sec,Strengthens glute muscles and supports hip extension during movement,"1. Lie on your back with knees bent and feet flat hip-width apart.
2. Press through your heels and lift your hips until your body forms a straight line from shoulders to knees.
3. Squeeze your glutes at the top while keeping your core engaged.
4. Lower your hips with control back to the floor.",Drive through the heels and squeeze glutes at the top while keeping hips level,3,None
Dead Bug (Arms Crossed),All Ages,Weight Loss,Strength,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–8,30–60 sec,Improves core stability and coordination with controlled limb movement,"1. Lie on your back with knees bent and feet lifted so shins are parallel to the floor.
2. Cross your arms over your chest and brace your core to flatten your lower back.
3. Slowly extend one leg toward the floor while keeping the other knee bent.
4. Return the extended leg to the start and repeat on the opposite side.",Maintain controlled movement and proper alignment throughout,2.5,None
Marching in Place,40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,30–60,6–7,30–45 sec,Increases light cardiovascular activity and enhances lower limb coordination,"1. Stand tall with feet hip-width apart and arms relaxed.
2. Lift one knee toward hip height while maintaining an upright posture.
3. Lower that foot and immediately lift the other knee in a marching rhythm.","Stand tall, lift knees with control and breathe steadily",3.5,None
Step Touches,60+,Weight Maintenance,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,20–40,6–7,30–45 sec,Boosts lateral movement coordination and maintains light aerobic activity,"1. Stand with feet together and knees slightly bent.
2. Step to the side with one foot and bring the other foot to meet it.
3. Continue alternating sides in a controlled, rhythmic step-touch pattern.","Step with control, keep knees soft and maintain upright posture",3,None
Seated Torso Twist,All Ages,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,6–7,30–45 sec,Improves trunk rotational mobility and increases seated spinal range of motion,"1. Sit upright with feet flat on the floor and hands on your shoulders or clasped.
2. Rotate your torso to one side from the ribs while keeping your hips facing forward.
3. Return to center and rotate to the other side.",Maintain controlled movement and proper alignment throughout,2,None
Hip Circles,40-59,Weight Loss,Mobility,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,10–12,6–7,15–30 sec,Improves hip mobility and joint lubrication,"1. Stand tall with feet hip-width and hands on hips.
2. Shift weight to one leg and lift the opposite knee.
3. Rotate the lifted leg in a slow circular motion from the hip.
4. Reverse the circle direction after a set of repetitions.",Brace your core and move the hips in slow controlled circles,2,None
Standing Quad Stretch,60+,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,10–12,6–7,20–40 sec,Increases quadriceps flexibility and knee range of motion,"1. Stand tall on one leg with the other foot relaxed.
2. Bend the free knee and reach back to grasp the ankle.
3. Pull the ankle toward the glute and keep knees close.",Keep hips square and pull heel to glute while maintaining a neutral spine,4,None
Forearm Doorway Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,20–30,6–7,20–40 sec,Enhances forearm and wrist flexibility and reduces muscle tightness,"1. Stand in a doorway and place one forearm on the doorframe at shoulder height.
2. Step the same foot forward until you feel a stretch across the front of the shoulder and chest.
3. Hold the position and breathe steadily.",Keep ribs down and press forearms into the doorway with control to open the chest,4,None
Tandem Stance,40-59,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,20–30,6–7,30–60 sec,Improves single leg balance and postural stability,"1. Stand with one foot directly in front of the other, heel touching toe.
2. Keep hips level and arms relaxed at your sides or extended for balance.
3. Hold the stance and focus on a steady gaze.",Maintain controlled movement and proper alignment throughout,4,None
Tree Pose (Hands at Heart),60+,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,20–30,6–7,30–60 sec,Enhances balance and core engagement while promoting body awareness,"1. Stand tall and shift weight onto one leg.
2. Place the sole of the other foot against the inner calf or thigh.
3. Bring both palms to your heart center.
4. Hold the pose and keep your gaze steady.","Ground the standing foot, engage your core, and keep hips level with hands at heart",2,"Hypertension, Coronary Artery Disease"
Calf Raises,All Ages,Weight Gain,Strength,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,12–15,7–8,60–90 sec,Improves calf strength and ankle push off power,"1. Stand tall with feet hip-width apart and hands at your sides or on hips.
2. Rise onto the balls of your feet by lifting both heels.
3. Lower your heels back down with control.",Keep a tall spine and lower back down with control on each calf raise,3,None
Scapular Squeezes,40-59,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,12–15,6–7,30–60 sec,Enhances upper back posture and shoulder blade stability,"1. Sit or stand tall with arms relaxed at your sides.
2. Squeeze your shoulder blades together without lifting your shoulders.
3. Hold briefly and then release slowly.",Squeeze shoulder blades together without shrugging and keep the neck long,2,None
V-Step (Hands on Hips),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–12,6–8,30–60 sec,Boosts lateral coordination and lower body mobility,"1. Stand with feet together and hands on your hips.
2. Step the right foot diagonally outward to form half of a V.
3. Return the right foot to center.
4. Repeat the same step with the left foot to complete the V pattern.",Step in a controlled V pattern keeping hips level and hands on hips for stability,3.4,None
Heel Digs,All Ages,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,15–20,6–8,30–60 sec,Strengthens front lower leg muscles and improves ankle control,"1. Stand tall with weight evenly distributed.
2. Extend one leg forward with the heel touching the floor and toes pointed up.
3. Push the heel into the floor and then return the foot to the starting position.",Keep toes up and drive the heel forward while maintaining a tall posture,2.8,None
Seated Cat-Cow (Hands on Knees),40-59,Weight Gain,Mobility,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–7,15–30 sec,Promotes spinal mobility and gentle flexion and extension of the back,"1. Sit tall on a chair with feet flat and hands on your knees.
2. Inhale and arch your spine while lifting your chest and looking slightly upward.
3. Exhale and round your spine while tucking your chin toward your chest.
4. Continue alternating the arch and round in a controlled rhythm.",Coordinate slow breaths with each arch and round while controlling movement from the pelvis,4,None
Ankle Circles,60+,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,10–15,6–7,15–30 sec,Improves ankle mobility and balance awareness,"1. Sit or stand and lift one foot off the ground.
2. Rotate the ankle slowly clockwise.
3. Reverse direction and rotate counterclockwise.
4. Repeat with the other foot.",Rotate the ankle slowly with control and keep the movement smooth,4,None
Neck Side Bend,All Ages,Weight Loss,Flexibility / Stretching,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,8–10,6–7,15–30 sec,Increases lateral neck flexibility and reduces stiffness,"1. Sit or stand tall with shoulders relaxed.
2. Tilt your head toward one shoulder until you feel a gentle stretch.
3. Return to center and repeat on the other side.",Tilt the head slowly keeping the chin level and shoulders relaxed,4,None
Butterfly Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,10–15,6–7,30–60 sec,Enhances groin and inner thigh flexibility,"1. Sit tall and bring the soles of your feet together.
2. Hold your feet and let your knees fall toward the floor.
3. Keep your back straight and lean forward slightly.
4. Hold the position and then release.",Sit tall and hinge from the hips while gently pressing knees toward the floor,2,None
Stork Stance,60+,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–8,30–45 sec,Develops single-leg balance and core stability,"1. Stand tall and shift your weight onto one foot.
2. Lift the opposite foot and place it against the inner calf or ankle.
3. Keep hips level and hands on hips or raised for balance.",Balance on one leg with a soft knee and hips level,2.2,Sarcopenia
Heel-to-Toe Walk,All Ages,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,20–30,6–7,30–45 sec,Improves walking stability and lower limb coordination,"1. Stand tall and take a step forward placing heel first.
2. Roll through the foot to the toes and push off to bring the back foot forward.
3. Continue placing each foot heel-to-toe in a straight line.",Step heel to toe with eyes forward and core engaged,2.8,Sarcopenia
Superman (Arms Back),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,7–8,45–60 sec,Strengthens posterior chain and spinal extensor endurance,"1. Lie face down with arms positioned slightly back at your sides.
2. Lift your chest, arms, and legs off the floor while keeping your neck neutral.
3. Squeeze your glutes and shoulder blades together.
4. Lower down with control.",Lift chest and legs using glutes while keeping the neck neutral,3,None
Static Lunge (Shallow),60+,Weight Loss,Strength,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,7–8,60–90 sec,Builds lower body strength and hip mobility,"1. Stand tall and step one foot back into a split stance.
2. Bend both knees slightly to lower into a shallow lunge.
3. Keep your torso upright and core engaged.
4. Hold the position then switch legs.",Keep the front knee over the ankle and maintain an upright torso,2.8,"Hypertension, Coronary Artery Disease"
Crunches (Arms Crossed),All Ages,Weight Maintenance,Strength,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,12–20,7–8,45–60 sec,Targets abdominal endurance and trunk flexion control,"1. Lie on your back with knees bent and arms crossed over your chest.
2. Engage your core and lift your shoulders off the floor using your abs.
3. Lower your shoulders back down with control.",Exhale as you curl using your abs and keep the lower back grounded,3,"Osteoporosis, Chronic Low Back Pain"
Low Impact Skaters,40-59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,7–9,45–60 sec,Enhances lateral power and dynamic balance with reduced joint stress,"1. Stand tall and take a lateral step to one side while sweeping the opposite foot behind.
2. Bend into a soft knee and push off to the other side.
3. Swing your arms naturally to help balance.
4. Continue side-to-side at a controlled pace.",Push laterally with controlled steps and maintain stable hips,4.5,None
Speed Walking (In Place),60+,Weight Gain,Cardio,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,40–60,6–7,30–60 sec,Improves aerobic capacity and calorie expenditure,"1. Stand tall and march quickly in place lifting your knees.
2. Pump your arms and land softly on the midfoot.
3. Maintain an upright posture and a brisk, steady pace.",Walk in place with an upright posture and steady breathing,4.2,None
Thoracic Rotation (Side Lying),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–7,30–45 sec,Improves thoracic mobility and upper back rotational range of motion,"1. Lie on your side with knees bent and the bottom arm extended under your head.
2. Place the top hand on your chest or extend it toward the ceiling.
3. Rotate your thorax to open the top arm toward the floor behind you while keeping hips stacked.
4. Return the arm to the starting position and repeat.",Keep hips stacked and rotate through the upper back while breathing steadily,4,None
Pelvic Tilts,40-59,Weight Gain,Mobility,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,12–15,6–7,30–45 sec,Enhances awareness of pelvic positioning and lower back flexibility,"1. Lie on your back with knees bent and feet flat on the floor.
2. Tilt your pelvis to press your lower back gently into the floor.
3. Relax to return to a neutral spine and repeat.",Brace your core and tilt from the pelvis to flatten the lower back,4,None
Overhead Triceps Stretch,60+,Weight Loss,Flexibility / Stretching,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,6–8,6–7,30–45 sec,Improves shoulder and triceps flexibility for reaching movements,"1. Stand tall and raise one arm overhead.
2. Bend the raised elbow and reach the hand down toward your upper back.
3. Use the opposite hand to gently pull the elbow back and hold.",Keep ribs down and a neutral spine while reaching the elbow overhead,4,None
Child's Pose (Arms Back),All Ages,Weight Maintenance,Flexibility / Stretching,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,6–8,6–7,30–60 sec,Promotes gentle spinal lengthening and shoulder extension,"1. Kneel with toes together and sit back toward your heels.
2. Walk your hands back along your sides toward your feet with palms up.
3. Lower your chest toward your thighs and relax your shoulders.
4. Hold the position.",Anchor your hips back and reach through the fingertips while breathing deeply,4,None
Flamingo Stand,40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,6–8,7–8,30–60 sec,Improves single-leg balance and ankle stability,"1. Stand tall and shift your weight onto one foot.
2. Bend the opposite knee and lift the foot toward your glute.
3. Extend your arms for balance and hold.","Keep the standing knee soft, hips level, and maintain a steady gaze for balance",2.3,Sarcopenia
Rock the Boat,60+,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–15,7–8,45–60 sec,Enhances core stability and dynamic balance control,"1. Sit on your sit bones with knees bent and feet lifted off the floor.
2. Extend your arms forward and lean back to balance in a boat position.
3. Rock backward so your shoulders lower toward the floor while maintaining core tension.
4. Rock forward to return to the balanced boat position and repeat.",Maintain a neutral spine and control the rocking motion from your core,3,Sarcopenia
Prone Cobra,All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8–12,6–8,30–60 sec,Strengthens posterior shoulder and upper back muscles to support posture,"1. Lie face down with arms at your sides and palms down.
2. Lift your chest and head off the floor while squeezing your shoulder blades down and together.
3. Hold the lifted position briefly and lower slowly back down.",Retract the shoulder blades to lift the chest and avoid overarching the lower back,2.5,None
Side Leg Raises,40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,12–15,7–8,30–60 sec,Strengthens hip abductor muscles and improves lateral hip stability,"1. Lie on one side with legs straight and stacked.
2. Lift the top leg upward without rolling your hips forward or back.
3. Lower the leg with control to the starting position and repeat.",Maintain controlled movement and proper alignment throughout,3,None
Step-Ups,60+,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10–12,7–8,60–90 sec,Improves lower body strength and functional stair climbing ability,"1. Stand facing a stable step or bench and place one foot on the step.
2. Push through the heel of the planted foot to lift your body up onto the step.
3. Step back down with control and repeat on the other leg.",Maintain controlled movement and proper alignment throughout,4.5,None
Arm Circles,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Wrist pain / limited wrist mobility,2,20–30,6–7,30–45 sec,Improves shoulder mobility and prepares upper body for activity,"1. Stand tall and extend both arms straight out to the sides at shoulder height.
2. Make small controlled circles with your arms forward for the desired time.
3. Reverse the direction and make small controlled circles backward for the same time.","Keep shoulders down and perform slow, controlled circles from the shoulder joint",2.8,None
