Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Bird Dog (Dynamic Flow),All Ages,Weight Maintenance,Balance & Stability,Core,Bodyweight Only,Intermediate,General joint stiffness (multi-joint / morning stiffness) ,3,8–12,3–5,30–45 sec,Enhances core stability and contralateral coordination,"1. Start on hands and knees with a neutral spine and engaged core.
2. Extend your right arm forward and your left leg back until they are parallel to the floor.
3. Return both hand and knee to the ground and repeat on the opposite side.","Keep hips square, extend opposite arm and leg with control",2.8,None
Arm Circles (Large/Dynamic),60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight Only,Intermediate,General joint stiffness (multi-joint / morning stiffness) ,2,20–30,1–3,10–20 sec,Enhances shoulder mobility and warms upper body muscles,"1. Stand tall with feet hip-width apart and extend both arms out to shoulder height.
2. Make large, controlled circles forward with your arms using the shoulders.
3. Reverse the direction and make large, controlled circles backward for equal repetitions.","Keep shoulders down and back, move with smooth controlled range",2.5,None
Hindu Push-up (Swoop),All Ages,Weight Maintenance,Strength,Full,Bodyweight Only,Intermediate,General joint stiffness (multi-joint / morning stiffness) ,3,8–12,6–8,60–90 sec,Develops upper body strength and promotes spinal mobility,"1. Start in a downward dog with hands shoulder-width and hips high.
2. Swoop your chest down and forward while lowering your hips toward the floor.
3. Arch your spine and lift your chest into upward dog while keeping legs engaged.
4. Push back through your hands and hips to return to downward dog.",Maintain a long spine and hinge from hips during the swoop,6,"Osteoporosis, Chronic Low Back Pain"
Kneeling Diamond Push-up,40-59,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Foot Pain,3,10–15,7–9,60–90 sec,Strengthens triceps and enhances chest and shoulder stability,"1. Kneel on a mat with knees hip-width and toes untucked.
2. Place hands under your chest with thumbs and index fingers touching to form a diamond.
3. Bend elbows to lower your chest toward the diamond, then press up to straighten your arms.",Keep elbows close to ribs and lower with controlled steady tempo,4,None
Single-Leg Box Squat (to Chair),All Ages,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Foot Pain,3,6–10,7–9,90–120 sec,Improves single leg strength and balance control,"1. Stand facing a chair or box with one leg extended slightly forward.
2. Hinge at your hips and push your hips back while keeping the extended leg off the seat.
3. Sit lightly onto the chair on the standing leg's heel and pause briefly.
4. Drive through the heel to stand tall and repeat, then switch legs.",Sit back into the chair with chest up and knee aligned over toes,4.7,None
Plank Arm Reach,60+,Weight Gain,Strength,Core,Bodyweight Only,Intermediate,Foot Pain,3,8–12,5–7,45–60 sec,Enhances core stability and shoulder control,"1. Start in a high plank with hands under shoulders and a straight line from head to heels.
2. Reach one arm straight forward while keeping hips square and core tight.
3. Return the hand under the shoulder and repeat with the opposite arm.",Brace your core and keep hips square while reaching forward slowly,4,"Hypertension, Coronary Artery Disease"
Reverse Plank Leg Lifts,40-59,Weight Gain,Strength,Full,Bodyweight Only,Intermediate,Foot Pain,3,8–12,6–8,45–60 sec,Activates the posterior chain and improves glute and hamstring engagement,"1. Sit with legs extended and hands behind hips with fingers pointing toward your feet.
2. Press through hands and heels to lift hips into a straight reverse plank.
3. Lift one leg toward the ceiling while keeping hips level and core engaged.
4. Lower the leg with control and repeat on the other side.",Press shoulders down lift hips high and breathe evenly during leg lifts,4.5,"Hypertension, Coronary Artery Disease"
L-Sit Tuck Hold,All Ages,Weight Gain,Strength,Core,Bodyweight Only,Intermediate,Foot Pain,3,6–10,7–9,90-120 sec,Improves core strength and hip flexor endurance,"1. Sit on the floor with hands beside your hips and fingers pointing forward.
2. Press into your hands and lift your feet off the ground while tucking your knees to your chest.
3. Keep your shoulders down, spine tall, and hold the tucked position.
4. Breathe steadily and maintain the lift for the desired time.",Depress and pack shoulders while bracing core to keep hips lifted,3,"Hypertension, Coronary Artery Disease"
Frog Pumps,60+,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Foot Pain,3,12–20,6–8,30-60 sec,Enhances glute activation and hip extension power,"1. Lie on your back and place the soles of your feet together with knees splayed outward.
2. Drive your hips upward by squeezing your glutes until your torso and thighs form a straight line.
3. Lower your hips with control toward the ground without losing the foot position.
4. Repeat the hip drives for the desired number of repetitions.",Squeeze glutes at the top and lower slowly with control,3.4,None
Push-up Hold (Bottom Position),40-59,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Foot Pain,3,6–10,7–9,60-90 sec,Builds upper body isometric strength and shoulder stability,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Lower your chest toward the floor until your elbows reach roughly 90 degrees.
3. Hold the bottom position while keeping a tight core and straight hips.
4. Maintain steady breathing and controlled muscle engagement.","Maintain a straight line from head to heels, brace core and glutes",3.3,"Hypertension, Coronary Artery Disease"
Wall Sit March,60+,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Foot Pain,3,20–30,6–8,60-90 sec,Improves lower body muscular endurance and unilateral hip stability,"1. Stand with your back against a wall and slide down until hips and knees form about 90 degrees.
2. Plant one foot firmly and lift the opposite foot a few inches off the floor.
3. Return the lifted foot and immediately lift the other foot, alternating marches.
4. Keep your back flat against the wall and core engaged throughout.","Keep knees over ankles, chest lifted, march with controlled movement",3,"Hypertension, Coronary Artery Disease"
Seated Boxing (Crosses),All Ages,Weight Loss,Cardio,Upper,Bodyweight Only,Intermediate,Foot Pain,3,30–60,5–7,30-60 sec,Increases upper body endurance and coordination while elevating heart rate,"1. Sit upright on a chair or bench with feet flat and core braced.
2. Rotate your torso and extend your rear hand across your body into a straight punch.
3. Retract the hand under control and rotate back to center.
4. Alternate sides with crisp rotations and keep your chin guarded.","Sit tall, rotate through torso, exhale sharply with each punch",3,None
Spiderman Plank Crunch,40-59,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Foot Pain,3,8–12,7–9,45-75 sec,Enhances core rotational strength and shoulder stability through integrated movement,"1. Start in a high plank with hands under shoulders and body in one line.
2. Drive your right knee toward your right elbow, twisting your hips.
3. Return the leg to plank and immediately repeat on the left.
4. Keep your core tight and shoulders steady.",Maintain a neutral spine and brace core before each knee drive,5,"Osteoporosis, Chronic Low Back Pain"
Seated Rope Climb (High Tempo),60+,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Foot Pain,3,15–20,7–9,60-90 sec,Improves upper body power and cardiovascular conditioning through rapid pulling motions,"1. Sit tall on the edge of a bench with feet flat and a rope or band overhead.
2. Grip the rope with both hands and pull your right hand down toward your hip as if climbing.
3. Rapidly alternate by pulling the left hand down while the right resets upward.
4. Maintain an upright torso and a fast, controlled rhythm.",Sit tall brace core pull deliberately on each repetition with controlled exhale,5.5,"Hypertension, Coronary Artery Disease"
Leg Flutters (Prone),All Ages,Weight Loss,Cardio,Lower,Bodyweight Only,Intermediate,Foot Pain,3,30–40,5–7,30-60 sec,Strengthens posterior chain and improves hip extension endurance,"1. Lie prone on your stomach with forehead on the ground and legs extended.
2. Lift both legs a few inches off the floor with toes pointed.
3. Alternate small, rapid up-and-down kicks with each leg.",Keep pelvis grounded and press lower ribs toward hips to protect lower back,2.6,None
Side Plank Crunches,40-59,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Foot Pain,3,10–15,6–8,45-75 sec,Targets oblique strength and lateral core stability for better trunk control,"1. Lie on your side and prop yourself into a side plank on your forearm with feet stacked.
2. Lift your top knee and bring your top elbow toward each other by crunching your oblique.
3. Return to side plank and repeat controlled reps.
4. Keep hips lifted and body in a straight line while moving.",Stack shoulders and hips and lift ribs while moving with controlled breath,4.5,"Hypertension, Coronary Artery Disease"
Kneeling Arm Circles (Rapid),60+,Weight Loss,Cardio,Upper,Bodyweight Only,Intermediate,Foot Pain,3,20–30,4–6,15-30 sec,Enhances shoulder mobility and muscular endurance with dynamic rotational movement,"1. Kneel upright with knees hip-width and spine tall.
2. Extend both arms out to the sides at shoulder height with palms down.
3. Make small, rapid circles with your arms using only shoulder movement.",Keep torso tall and scapula stable and control circles with smooth shoulder movement,3.5,None
Supine Alternating Leg Drops,All Ages,Weight Loss,Cardio,Lower,Bodyweight Only,Intermediate,Foot Pain,3,10–15,4–6,30–60 sec,Enhances lower abdominal control and core stability,"1. Lie on your back with arms by your sides and both legs extended toward the ceiling.
2. Press your low back into the floor and engage your core.
3. Lower one leg slowly toward the floor until your heel is a few inches above the ground.
4. Return that leg to the ceiling and lower the opposite leg, alternating with control.",Keep low back pressed into mat and move slowly with control,2.3,Sleep Apnea
Crab Kicks,60+,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Foot Pain,3,12–15,5–7,30–60 sec,Strengthens glutes and promotes hip extension control,"1. Sit with hands behind you, feet flat, and lift your hips until your torso and thighs form a tabletop.
2. Brace your core and keep your hips lifted.
3. Extend one leg forward or upward in a controlled kick while keeping hips stable.
4. Return the foot and repeat the kick on the other side, alternating.",Keep hips level and core tight to avoid sagging,4,None
Seated Calf Stretch (Towel),60+,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight Only,Intermediate,Foot Pain,3,1–2,2–4,30–60 sec,Improves calf flexibility and ankle dorsiflexion range,"1. Sit with one leg extended and the other foot flat on the floor.
2. Loop a towel around the ball of the extended foot and hold the ends with both hands.
3. Pull the towel toward you to flex the ankle and feel a stretch in the calf while keeping the knee straight.
4. Release the tension, switch legs, and repeat.",Sit tall and hinge slightly forward from hips while pulling towel toward you,4,None
Short Foot (Foot Doming),All Ages,Weight Maintenance,Mobility,Lower,Bodyweight Only,Intermediate,Foot Pain,3,10–15,2–4,30–60 sec,Activates intrinsic foot muscles to support arch control,"1. Sit with both feet flat on the floor and weight evenly distributed.
2. Keep your toes relaxed and press the ball of the foot into the floor.
3. Pull the base of the toes toward the heel to shorten the foot and raise the medial arch without curling the toes.
4. Hold the domed position briefly, then relax and repeat.",Lift the arch while keeping toes relaxed and weight balanced evenly,4,None
Seated Piriformis Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight Only,Intermediate,Foot Pain,3,1–2,2–4,30–60 sec,Increases hip external rotation flexibility and glute mobility,"1. Sit tall with both feet flat on the floor.
2. Cross one ankle over the opposite knee so the ankle rests just above the knee.
3. Lean forward from the hips while keeping your spine long until you feel a stretch in the outer hip.
4. Return to upright and switch sides.",Keep spine long and hinge from hips to lean into the stretch,4,None
Bird Dog (Same Side),60+,Weight Maintenance,Balance & Stability,Core,Bodyweight Only,Intermediate,Foot Pain,3,8–12,4–6,30–60 sec,Enhances core stability and spinal alignment while improving balance,"1. Get on hands and knees with hands under shoulders and knees under hips.
2. Brace your core and keep a neutral spine.
3. Extend your right arm forward and your right leg back in line with your torso.
4. Hold briefly, then return to the starting position and repeat on the other side.",Keep spine neutral and core engaged to prevent low back arching,2,None
Quadruped Hip Circles,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight Only,Intermediate,Foot Pain,2,10–12,3–5,30–60 sec,Improves hip mobility and coordination of pelvic movement,"1. Position yourself on hands and knees with a tall spine.
2. Lift your right knee slightly so the knee stays bent at about 90 degrees.
3. Move your right knee in slow, controlled circles at the hip joint.
4. Reverse the circle direction for the same number of reps, then switch sides.",Maintain tall neutral spine and move hips slowly through controlled range,2.2,None
Dead Bug (Ipsilateral),40-59,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Foot Pain,3,8–12,5–7,30–90 sec,Develops core coordination and controlled limb movement,"1. Lie on your back with knees bent and feet flat, arms at your sides.
2. Press your lower back into the floor and lift your right arm toward the ceiling while extending your right leg straight.
3. Lower your right arm and right leg together toward the floor without losing core contact.
4. Return to the start and repeat, then switch to the other side.",Press lower back gently into floor and breathe while moving limbs slowly,2,None
Floor Press (Isometric),60+,Weight Maintenance,Strength,Upper,Bodyweight Only,Intermediate,Foot Pain,3,6–8,6–8,60–120 sec,Builds pressing endurance and enhances shoulder stability,"1. Lie on your back with knees bent and feet flat, holding dumbbells or a bar over your chest.
2. Bend your elbows so the weight rests just above your chest, palms facing forward.
3. Press upward until your arms are nearly straight and hold the position without locking your elbows.
4. Maintain the hold for the desired time, then slowly lower the weight to the starting position.",Squeeze shoulder blades into ground and avoid flaring elbows,2.8,"Hypertension, Coronary Artery Disease"
Kneeling Hinge,All Ages,Weight Maintenance,Strength,Full,Bodyweight Only,Intermediate,Foot Pain,3,8–12,4–6,60–90 sec,Teaches hip hinge mechanics and strengthens posterior chain activation,"1. Kneel on both knees with a straight spine and hands on your hips or reaching forward.
2. Hinge at the hips by pushing them back while keeping your chest open and spine neutral.
3. Drive your hips forward to return to an upright kneeling position and repeat.",Hinge from hips keeping spine long and chest lifted,2.5,None
Side Lying External Rotation,60+,Weight Maintenance,Strength,Upper,Bodyweight Only,Intermediate,Foot Pain,3,12–15,3–5,45-60 sec,Improves shoulder external rotation mobility and rotator cuff strength,"1. Lie on your side with knees slightly bent and the working arm bent at 90° resting against your side.
2. Hold a light weight or no weight and keep the upper arm steady with the elbow fixed at your side.
3. Rotate your forearm upward toward the ceiling by externally rotating the shoulder.
4. Lower the forearm slowly to the starting position with control.",Keep elbow tucked to your side and rotate slowly with controlled movement,4,None
Curtsy Lunge,All Ages,Weight Maintenance,Strength,Lower,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,6–8,60-90 sec,Improves lateral hip stability and strengthens glutes and legs for better balance,"1. Stand tall with feet hip-width and hands on hips or at chest.
2. Step one leg diagonally behind and across the front leg while bending both knees into a lunge.
3. Push through the front heel to return to standing and repeat on the other side.",Maintain upright torso and step diagonally keeping knee aligned over toes,3.8,None
Glute Bridge March,60+,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Elbow Pain,3,10–15,5–7,45-60 sec,Strengthens glutes and core while improving hip extension control and pelvic stability,"1. Lie on your back with knees bent, feet flat hip-width, and hips lifted into a bridge.
2. Squeeze your glutes and brace your core to keep hips steady.
3. Lift one knee toward your chest while keeping hips elevated and level.
4. Lower that foot back down and repeat the march with the opposite leg.",Squeeze glutes and keep pelvis stable while marching slowly with control,2.4,None
Forearm Push-up (Tricep focus),40-59,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,7–8,60-90 sec,Builds triceps strength while challenging core stability and upper body control,"1. Start in a forearm plank with elbows under shoulders and core engaged.
2. Press one hand onto the floor, then the other to rise onto your hands in a high plank.
3. Lower one forearm back down, then the other, returning to the forearm plank while keeping elbows close to your body.
4. Alternate the leading hand and keep the movement controlled to emphasize the triceps.",Keep elbows tucked close to ribs and lower with a straight spine,5,None
Pistol Squat Prep (Single Leg Sit),All Ages,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Elbow Pain,3,6–10,6–8,60-90 sec,Develops single leg strength balance and mobility to support functional lower body movements,"1. Stand on one leg with the other leg extended in front and arms extended for balance.
2. Sit back slowly onto a chair or box, keeping the working knee aligned over the toes and the extended leg straight.
3. Pause briefly, then press through the heel of the working leg to stand back up while keeping the torso upright.",Sit back onto the chair with weight through heel and chest lifted,2.7,None
Hollow Rock,40-59,Weight Gain,Strength,Core,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,6–8,30-45 sec,Builds anterior core endurance and body tension to enhance midline stability,"1. Lie on your back and draw your ribs toward your hips, lifting your shoulders and legs a few inches off the ground.
2. Extend your arms overhead in line with your ears and keep your legs straight with toes pointed.
3. Rock back toward your shoulders using a smooth arc while keeping your lower back pressed to the floor.
4. Rock forward toward your feet while maintaining the hollow position and steady breathing.",Keep lower back glued to the floor and breathe evenly,3.8,None
Prone Cobra (Arms Back),60+,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Elbow Pain,3,10–15,3–5,30-45 sec,Strengthens posterior chain and improves scapular stability and postural alignment,"1. Lie face down with your forehead on the floor and your arms by your sides, palms down and thumbs pointing back.
2. Squeeze your shoulder blades together, lift your chest off the ground, and rotate your arms so your thumbs point upward.
3. Hold the lifted position with a long neck and relaxed legs, then lower slowly back down.",Pinch shoulder blades together and lift chest while keeping neck neutral,4,None
Bear Crawl Hold (Static/Forearms),40-59,Weight Gain,Strength,Full,Bodyweight Only,Intermediate,Elbow Pain,3,6–8,5–7,60-90 sec,Enhances core and shoulder stability and challenges whole body control,"1. Start on your forearms and toes with elbows under shoulders and knees tucked under hips a few inches off the ground.
2. Lift your hips to a neutral position so your back is flat and maintain a slight bend in the knees.
3. Keep your core braced and gaze slightly ahead while holding even breathing.
4. Hold the position without letting hips sag or shoulders collapse.",Drive hips low and maintain a neutral spine while breathing steadily,3.3,"Hypertension, Coronary Artery Disease"
Doorway Isometric Row,All Ages,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,4–6,30-60 sec,Builds scapular retraction strength and upper back endurance to support better posture,"1. Stand facing an open doorway and grasp both sides of the frame at chest height with feet braced forward.
2. Lean back with a straight spine and bend your elbows, pulling your shoulder blades together without stepping forward.
3. Hold the contracted position for the desired duration while maintaining a tight core, then slowly release.",Pull shoulder blades back and down keeping wrists aligned with forearms,3,"Hypertension, Coronary Artery Disease"
Shadow Boxing (Body Hooks),60+,Weight Loss,Cardio,Upper,Bodyweight Only,Intermediate,Elbow Pain,3,20–30,6–8,30-60 sec,Improves cardiovascular fitness coordination and rotational core power through dynamic striking movements,"1. Stand in a balanced boxing stance with knees slightly bent and hands up protecting your face.
2. Rotate your hips and pivot your lead foot as you drive a hook toward the opponent’s body, keeping your elbow bent.
3. Return your hand quickly to guard and then repeat on the other side with smooth hip rotation.
4. Maintain controlled breathing and move your feet lightly between punches.",Rotate from your hips and exhale sharply while keeping hands high,6,None
Pop Squats,All Ages,Weight Loss,Cardio,Lower,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,6–8,60–90 sec,Increases lower body power and explosive leg strength,"1. Stand with feet hip-width and toes slightly turned out.
2. Lower into a squat, keeping chest up and weight in your heels.
3. Explode upward into a small jump, extending hips and knees.
4. Land softly back into a squat and repeat.",Keep chest up and land softly with hips back and knees tracking toes,6.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism"
High Knees (Arms Crossed),40-59,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Elbow Pain,3,40–60,7–9,30–60 sec,Boosts cardiovascular activity while improving hip flexor endurance and coordination,"1. Stand tall and cross your arms over your chest.
2. Run in place driving one knee up toward your chest.
3. Alternate knees quickly while maintaining an upright posture.",Keep tall torso and drive knees up using your core,6.4,"Hypothyroidism, Hyperthyroidism, COPD, Coronary Artery Disease"
Skater Jumps (Hands Behind Back),All Ages,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,6–8,60–90 sec,Improves lateral power and single leg balance,"1. Stand on one leg with hands clasped behind your lower back.
2. Leap laterally to the opposite leg and land softly on the ball of that foot.
3. Bend the landing knee and touch the trailing foot briefly behind you.
4. Push off immediately and repeat the lateral jump to the other side.",Land softly with hips level and chest up to protect knees,5.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism, Sarcopenia"
Drop Squats,40-59,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,7–9,90–120 sec,Develops eccentric control and lower body mobility,"1. Stand with feet shoulder-width apart and brace your core.
2. Quickly drop your hips back and down into a deep squat.
3. Drive through your heels to stand up and reset for the next rep.",Control the descent by hinging hips back and keeping a neutral spine,5.5,"Obesity / Overweight, Osteoarthritis"
Plank Jacks (Forearms),All Ages,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Elbow Pain,3,20–30,6–8,45–60 sec,Builds core endurance while challenging shoulder stability and hip abductors,"1. Start in a forearm plank with elbows under shoulders and body in a straight line.
2. Jump both feet out wider than hip-width while keeping hips level.
3. Jump both feet back together to the starting position.
4. Maintain a tight core and steady breathing throughout.",Keep hips stable and spine neutral while breathing evenly,4.7,"Hypertension, Coronary Artery Disease"
Forearm Wall Slide,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,2–4,30–60 sec,Improves scapular mobility and promotes upright thoracic posture,"1. Stand facing a wall with feet hip-width apart.
2. Place forearms on the wall with elbows at shoulder height and palms flat.
3. Slowly slide forearms upward overhead while keeping forearms and palms in contact with the wall.
4. Slide forearms back down to the start with control.",Keep forearms flat on wall and tuck chin to maintain neutral spine,2.3,None
Star Balance Excursion,60+,Weight Maintenance,Balance & Stability,Full,Bodyweight Only,Intermediate,Elbow Pain,3,6–8,3–5,30–60 sec,Improves single leg balance and multidirectional proprioceptive control,"1. Stand tall and lift one knee to hip height.
2. Extend arms out to form a star and shift weight onto the standing leg.
3. Hinge at the hips and reach the opposite hand toward the standing foot while extending the lifted leg back.
4. Return to upright and repeat, then switch sides.",Reach arms and leg slowly while keeping hips level and core braced,3.8,Sarcopenia
Bird Dog (Forearm Support),40-59,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,2–4,30–60 sec,Promotes spinal stability and coordinated core and hip activation,"1. Start on hands and knees and lower onto forearms with elbows under shoulders.
2. Brace the core and extend one arm forward while extending the opposite leg back in line with the torso.
3. Hold with a flat spine for a moment.
4. Return limbs to start and repeat on the other side.",Keep hips level and exhale as you extend opposite arm and leg,2.8,None
Thoracic Extension (Chair),60+,Weight Maintenance,Mobility,Upper,Bodyweight Only,Intermediate,Elbow Pain,2,10–15,2–4,30–60 sec,Increases thoracic extension mobility and supports improved upright posture,"1. Sit on a chair with feet flat and upper back against the top of the chair back.
2. Interlace fingers behind the head and gently lean back over the chair to open the chest.
3. Return to a neutral upright position with control and repeat.",Lift through upper back over chair while keeping ribs down and neck long,4,None
Lateral Lunge to Balance,All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight Only,Intermediate,Elbow Pain,3,8–12,5–7,60–90 sec,Develops lateral hip and thigh strength while enhancing single leg balance,"1. Stand tall with feet hip-width apart.
2. Step wide to one side and bend the leading knee while pushing hips back into a lateral lunge.
3. Drive through the heel of the lunging foot to stand and lift the trailing foot off the ground into a balance.
4. Hold briefly, then lower the trailing foot and repeat on the other side.",Push hips back in lunge and control drive through standing foot to balance,4.1,Sarcopenia
Side Plank (Forearm),60+,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Elbow Pain,3,20–40s per side,5–7,30–60 sec,Enhances lateral core strength and shoulder stability,"1. Lie on your side with forearm under shoulder and legs stacked.
2. Press forearm and outer edge of bottom foot into the floor to lift hips.
3. Stack hips and shoulders into a straight line and position top arm on hip or overhead.
4. Hold the position while keeping your core engaged and breathing steadily.",Stack hips over shoulders and hold a straight line from head to heels,4,"Hypertension, Coronary Artery Disease"
Standing Hip Flexor Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight Only,Intermediate,Elbow Pain,2,30–60s per side,2–4,15–30 sec,Improves hip extension mobility and standing posture,"1. Stand tall and step one foot back into a lunge with the front knee over the ankle.
2. Tuck your pelvis and shift your hips forward until you feel a stretch in the front of the back hip.
3. Keep your torso upright and squeeze the glute of the back leg.
4. Hold the stretch, then switch sides after the desired time.",Tuck pelvis and keep spine tall as you lunge into the stretch,4,None
Calf Raise Hold,60+,Weight Maintenance,Strength,Lower,Bodyweight Only,Intermediate,Elbow Pain,3,20–30s hold,6–8,30–60 sec,Builds calf muscular endurance and ankle stability,"1. Stand with feet hip-width apart and hands on a support for balance.
2. Rise onto the balls of both feet until your heels fully lift.
3. Maintain straight knees and core while holding the top position.",Control the ascent and keep knees soft while holding the top,2.2,"Hypertension, Coronary Artery Disease"
Pseudo Planche Push-up,40-59,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,6–10,7–9,120–180 sec,Develops horizontal pushing strength and shoulder control,"1. Start in a high plank with hands turned slightly outward and placed near your hips.
2. Shift your weight forward so your shoulders move ahead of your hands and engage your core.
3. Bend elbows close to your sides and lower your chest forward and down.
4. Push back up while keeping the forward lean and controlled tension.",Lean chest forward keep elbows close and core braced with a neutral spine,6.5,None
Single-Leg Floor Bridge (No Elevation),All Ages,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,8–12  per leg,6–8,60–90 sec,Enhances glute activation and single leg hip stability,"1. Lie on your back with one knee bent and foot flat, and extend the other leg straight.
2. Press the heel of the bent leg into the floor and squeeze the glute to lift your hips into a straight line.
3. Keep the extended leg aligned with your hips and maintain a neutral spine.
4. Lower your hips with control and repeat, then switch legs.",Drive through heel squeeze glute and maintain stacked hips with neutral spine,2.6,None
Side Plank with Rotation,60+,Weight Gain,Strength,Core,Bodyweight Only,Intermediate,Ankle Pain,3,8–12,6–8,45–60 sec,Improves rotational core strength and thoracic mobility,"1. Lie on your side and prop your forearm under your shoulder, stacking your feet.
2. Lift your hips to form a straight line from head to heels.
3. Rotate your torso and thread your top arm under your body, then open back to the side plank.
4. Repeat the rotation while keeping hips lifted.",Keep hips stacked and spine neutral as you rotate slowly,3.5,"Hypertension, Coronary Artery Disease, Chronic Low Back Pain, Osteoporosis"
Bear Plank (Knees Hovering),40-59,Weight Gain,Strength,Full,Bodyweight Only,Intermediate,Ankle Pain,3,20–30,6–8,60–90 sec,Improves overall core stability and shoulder girdle control,"1. Start on hands and knees with wrists under shoulders and knees under hips.
2. Lift your knees a few inches off the floor so your shins hover while keeping your back flat.
3. Hold the hover while pressing your palms into the floor and maintaining a neutral neck.
4. Maintain the position for the set duration.",Brace core keep hips level and neck neutral while breathing steadily,4.5,"Hypertension, Coronary Artery Disease"
Pike Push-up (Feet on Floor),All Ages,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,6–10,7–9,90–120 sec,Develops shoulder pressing strength and upper body balance,"1. Start in a pike position with hips lifted and feet on the floor, hands shoulder-width apart.
2. Bend your elbows to lower your head toward the floor while keeping hips high.
3. Press through your palms to extend your elbows and return to the pike top.
4. Repeat the lower-and-press motion for the desired reps.",Hinge at hips keep shoulders protracted and neck aligned,5,None
Clam Shell with Hip Lift,60+,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,12–20,4–6,30–60 sec,Strengthens hip abductors and enhances pelvic stability,"1. Lie on your side with knees bent, heels together, and head supported.
2. Open your top knee while keeping your feet touching to perform the clam motion.
3. Lift your hips slightly off the floor to add the hip lift while keeping knees aligned.
4. Lower hips and close the knee, then repeat the sequence.",Keep pelvis stable and core engaged as you lift through the glutes,2.4,None
Body Saw (Plank variation),40-59,Weight Gain,Strength,Core,Bodyweight Only,Intermediate,Ankle Pain,3,8–12,7–8,60–90 sec,Enhances dynamic core control and shoulder girdle endurance,"1. Start in a forearm plank with elbows under shoulders and feet on sliders or towels.
2. Push through your forearms to slide your heels backward, extending your body slightly.
3. Pull your heels forward by engaging your core to return toward the starting position.
4. Continue sliding your body backward and forward while maintaining a straight line.",Maintain a neutral spine and move the body using shoulder control,4.8,"Hypertension, Coronary Artery Disease"
Reverse Tabletop Hold,All Ages,Weight Gain,Strength,Full,Bodyweight Only,Intermediate,Ankle Pain,3,8-12,5–7,30–60 sec,Improves posterior chain strength and hip extension mobility,"1. Sit with knees bent, feet flat hip-width apart, and hands placed slightly behind hips with fingers pointing toward your feet.
2. Press through palms and heels and lift hips and torso until thighs and torso form a straight line.
3. Squeeze glutes, keep neck neutral, and hold the elevated position.
4. Lower hips back down with control to the starting position.","Lift hips until shoulders, hips, and knees align, squeeze glutes and keep neck neutral",2.6,"Hypertension, Coronary Artery Disease"
